Time [s],CAN H,CAN L
214.525697882,2.528,2.476
214.525697902,2.528,2.481
214.525697922,2.523,2.481
214.525697942,2.523,2.481
214.525697962,2.518,2.481
214.525697982,2.518,2.481
214.525698002,2.518,2.481
214.525698022,2.518,2.487
214.525698042,2.518,2.487
214.525698062,2.518,2.487
214.525698082,2.513,2.487
214.525698102,2.513,2.492
214.525698122,2.513,2.492
214.525698142,2.518,2.492
214.525698162,2.518,2.492
214.525698182,2.518,2.492
214.525698202,2.513,2.492
214.525698222,2.513,2.497
214.525698242,2.513,2.497
214.525698262,2.513,2.497
214.525698282,2.518,2.497
214.525698302,2.518,2.497
214.525698322,2.518,2.497
214.525698342,2.513,2.497
214.525698362,2.513,2.497
214.525698382,2.513,2.497
214.525698402,2.513,2.497
214.525698422,2.513,2.497
214.525698442,2.513,2.492
214.525698462,2.513,2.492
214.525698482,2.513,2.492
214.525698502,2.513,2.497
214.525698522,2.513,2.497
214.525698542,2.518,2.497
214.525698562,2.518,2.502
214.525698582,2.518,2.502
214.525698602,2.513,2.502
214.525698622,2.513,2.502
214.525698642,2.513,2.502
214.525698662,2.513,2.497
214.525698682,2.513,2.492
214.525698702,2.528,2.476
214.525698722,2.559,2.445
214.525698742,2.626,2.378
214.525698762,2.718,2.285
214.525698782,2.832,2.172
214.525698802,2.939,2.063
214.525698822,3.032,1.971
214.525698842,3.109,1.893
214.525698862,3.176,1.831
214.525698882,3.238,1.769
214.525698902,3.294,1.713
214.525698922,3.34,1.666
214.525698942,3.376,1.635
214.525698962,3.397,1.615
214.525698982,3.412,1.599
214.525699002,3.428,1.594
214.525699022,3.433,1.589
214.525699042,3.438,1.589
214.525699062,3.438,1.589
214.525699082,3.438,1.594
214.525699102,3.438,1.594
214.525699122,3.438,1.594
214.525699142,3.443,1.584
214.525699162,3.448,1.578
214.525699182,3.459,1.568
214.525699202,3.464,1.558
214.525699222,3.474,1.547
214.525699242,3.484,1.537
214.525699262,3.495,1.527
214.525699282,3.505,1.522
214.525699302,3.515,1.511
214.525699322,3.525,1.501
214.525699342,3.536,1.491
214.525699362,3.541,1.486
214.525699382,3.541,1.475
214.525699402,3.546,1.465
214.525699422,3.551,1.455
214.525699442,3.556,1.455
214.525699462,3.572,1.46
214.525699482,3.582,1.465
214.525699502,3.587,1.47
214.525699522,3.592,1.47
214.525699542,3.587,1.465
214.525699562,3.577,1.46
214.525699582,3.561,1.449
214.525699602,3.551,1.439
214.525699622,3.551,1.434
214.525699642,3.551,1.434
214.525699662,3.556,1.439
214.525699682,3.567,1.449
214.525699702,3.572,1.46
214.525699722,3.577,1.465
214.525699742,3.577,1.47
214.525699762,3.577,1.47
214.525699782,3.577,1.47
214.525699802,3.572,1.465
214.525699822,3.567,1.465
214.525699842,3.561,1.46
214.525699862,3.556,1.455
214.525699882,3.551,1.455
214.525699902,3.551,1.449
214.525699922,3.551,1.455
214.525699942,3.551,1.455
214.525699962,3.556,1.46
214.525699982,3.561,1.465
214.525700002,3.567,1.465
214.525700022,3.572,1.47
214.525700042,3.572,1.47
214.525700062,3.572,1.465
214.525700082,3.567,1.465
214.525700102,3.561,1.465
214.525700122,3.561,1.465
214.525700142,3.556,1.46
214.525700162,3.556,1.455
214.525700182,3.556,1.455
214.525700202,3.556,1.46
214.525700222,3.556,1.465
214.525700242,3.561,1.465
214.525700262,3.561,1.47
214.525700282,3.567,1.47
214.525700302,3.567,1.47
214.525700322,3.567,1.47
214.525700342,3.567,1.47
214.525700362,3.567,1.465
214.525700382,3.561,1.46
214.525700402,3.561,1.46
214.525700422,3.556,1.46
214.525700442,3.556,1.46
214.525700462,3.556,1.46
214.525700482,3.556,1.46
214.525700502,3.556,1.465
214.525700522,3.561,1.465
214.525700542,3.561,1.465
214.525700562,3.567,1.465
214.525700582,3.567,1.465
214.525700602,3.561,1.465
214.525700622,3.561,1.46
214.525700642,3.556,1.46
214.525700662,3.556,1.46
214.525700682,3.551,1.465
214.525700702,3.541,1.475
214.525700722,3.505,1.511
214.525700742,3.433,1.584
214.525700762,3.315,1.697
214.525700782,3.186,1.831
214.525700802,3.073,1.945
214.525700822,3.017,2.007
214.525700842,3.001,2.022
214.525700862,2.986,2.033
214.525700882,2.945,2.069
214.525700902,2.883,2.12
214.525700922,2.832,2.172
214.525700942,2.806,2.203
214.525700962,2.806,2.213
214.525700982,2.806,2.208
214.525701002,2.801,2.213
214.525701022,2.79,2.229
214.525701042,2.785,2.239
214.525701062,2.785,2.244
214.525701082,2.785,2.244
214.525701102,2.78,2.249
214.525701122,2.775,2.254
214.525701142,2.76,2.26
214.525701162,2.744,2.27
214.525701182,2.729,2.28
214.525701202,2.718,2.291
214.525701222,2.703,2.301
214.525701242,2.693,2.311
214.525701262,2.682,2.327
214.525701282,2.667,2.337
214.525701302,2.657,2.347
214.525701322,2.646,2.358
214.525701342,2.636,2.373
214.525701362,2.626,2.389
214.525701382,2.621,2.399
214.525701402,2.611,2.414
214.525701422,2.6,2.42
214.525701442,2.595,2.43
214.525701462,2.585,2.44
214.525701482,2.58,2.445
214.525701502,2.575,2.45
214.525701522,2.564,2.456
214.525701542,2.559,2.461
214.525701562,2.554,2.461
214.525701582,2.549,2.461
214.525701602,2.549,2.466
214.525701622,2.544,2.466
214.525701642,2.544,2.466
214.525701662,2.544,2.471
214.525701682,2.544,2.471
214.525701702,2.539,2.476
214.525701722,2.539,2.476
214.525701742,2.539,2.476
214.525701762,2.539,2.476
214.525701782,2.539,2.476
214.525701802,2.539,2.481
214.525701822,2.539,2.481
214.525701822,2.539,2.481
214.525701822,2.539,2.481
