Time [s],CAN H,CAN L
213.685972722,2.523,2.492
213.685972742,2.518,2.492
213.685972762,2.518,2.492
213.685972782,2.518,2.497
213.685972802,2.518,2.497
213.685972822,2.518,2.497
213.685972842,2.518,2.497
213.685972862,2.518,2.497
213.685972882,2.518,2.497
213.685972902,2.518,2.497
213.685972922,2.513,2.497
213.685972942,2.513,2.497
213.685972962,2.513,2.497
213.685972982,2.508,2.497
213.685973002,2.508,2.497
213.685973022,2.508,2.497
213.685973042,2.508,2.497
213.685973062,2.513,2.497
213.685973082,2.513,2.497
213.685973102,2.513,2.497
213.685973122,2.513,2.497
213.685973142,2.513,2.502
213.685973162,2.513,2.502
213.685973182,2.513,2.502
213.685973202,2.518,2.502
213.685973222,2.518,2.502
213.685973242,2.518,2.502
213.685973262,2.513,2.507
213.685973282,2.513,2.507
213.685973302,2.513,2.502
213.685973322,2.518,2.502
213.685973342,2.518,2.502
213.685973362,2.528,2.497
213.685973382,2.544,2.476
213.685973402,2.585,2.43
213.685973422,2.662,2.352
213.685973442,2.765,2.244
213.685973462,2.883,2.131
213.685973482,2.986,2.022
213.685973502,3.073,1.934
213.685973522,3.14,1.867
213.685973542,3.202,1.805
213.685973562,3.258,1.744
213.685973582,3.315,1.692
213.685973602,3.356,1.656
213.685973622,3.382,1.63
213.685973642,3.402,1.615
213.685973662,3.418,1.599
213.685973682,3.428,1.594
213.685973702,3.433,1.594
213.685973722,3.438,1.594
213.685973742,3.438,1.599
213.685973762,3.438,1.599
213.685973782,3.438,1.599
213.685973802,3.438,1.589
213.685973822,3.443,1.584
213.685973842,3.448,1.573
213.685973862,3.459,1.568
213.685973882,3.469,1.558
213.685973902,3.479,1.547
213.685973922,3.489,1.542
213.685973942,3.495,1.532
213.685973962,3.505,1.522
213.685973982,3.515,1.511
213.685974002,3.525,1.501
213.685974022,3.536,1.491
213.685974042,3.541,1.48
213.685974062,3.546,1.475
213.685974082,3.551,1.47
213.685974102,3.556,1.465
213.685974122,3.561,1.465
213.685974142,3.567,1.46
213.685974162,3.567,1.46
213.685974182,3.572,1.46
213.685974202,3.567,1.46
213.685974222,3.567,1.46
213.685974242,3.572,1.455
213.685974262,3.572,1.455
213.685974282,3.572,1.455
213.685974302,3.572,1.455
213.685974322,3.572,1.455
213.685974342,3.567,1.46
213.685974362,3.567,1.46
213.685974382,3.567,1.46
213.685974402,3.561,1.465
213.685974422,3.567,1.465
213.685974442,3.567,1.47
213.685974462,3.561,1.47
213.685974482,3.561,1.47
213.685974502,3.556,1.47
213.685974522,3.556,1.465
213.685974542,3.556,1.465
213.685974562,3.556,1.465
213.685974582,3.556,1.465
213.685974602,3.556,1.465
213.685974622,3.556,1.465
213.685974642,3.561,1.465
213.685974662,3.561,1.465
213.685974682,3.561,1.47
213.685974702,3.561,1.47
213.685974722,3.561,1.47
213.685974742,3.561,1.47
213.685974762,3.561,1.47
213.685974782,3.561,1.475
213.685974802,3.561,1.47
213.685974822,3.561,1.47
213.685974842,3.556,1.465
213.685974862,3.556,1.465
213.685974882,3.561,1.465
213.685974902,3.561,1.465
213.685974922,3.561,1.465
213.685974942,3.561,1.47
