Time [s],CAN H,CAN L
215.046569862,2.503,2.43
215.046569882,2.497,2.425
215.046569902,2.492,2.425
215.046569922,2.487,2.425
215.046569942,2.487,2.425
215.046569962,2.482,2.425
215.046569982,2.482,2.425
215.046570002,2.482,2.425
215.046570022,2.482,2.425
215.046570042,2.482,2.43
215.046570062,2.482,2.435
215.046570082,2.482,2.44
215.046570102,2.477,2.44
215.046570122,2.477,2.44
215.046570142,2.477,2.44
215.046570162,2.472,2.44
215.046570182,2.477,2.445
215.046570202,2.477,2.445
215.046570222,2.482,2.445
215.046570242,2.482,2.45
215.046570262,2.482,2.456
215.046570282,2.487,2.461
215.046570302,2.487,2.461
215.046570322,2.487,2.461
215.046570342,2.487,2.466
215.046570362,2.487,2.466
215.046570382,2.482,2.466
215.046570402,2.482,2.466
215.046570422,2.482,2.461
215.046570442,2.477,2.461
215.046570462,2.477,2.461
215.046570482,2.472,2.456
215.046570502,2.467,2.45
215.046570522,2.467,2.45
215.046570542,2.467,2.45
215.046570562,2.461,2.45
215.046570582,2.461,2.45
215.046570602,2.456,2.45
215.046570622,2.461,2.45
215.046570642,2.461,2.45
215.046570662,2.467,2.456
215.046570682,2.472,2.456
215.046570702,2.472,2.456
215.046570722,2.477,2.461
215.046570742,2.477,2.466
215.046570762,2.477,2.466
215.046570782,2.482,2.466
215.046570802,2.487,2.461
215.046570822,2.503,2.445
215.046570842,2.554,2.399
215.046570862,2.646,2.306
215.046570882,2.79,2.156
215.046570902,2.975,1.965
215.046570922,3.171,1.764
215.046570942,3.34,1.589
215.046570962,3.459,1.465
215.046570982,3.541,1.382
215.046571002,3.608,1.326
215.046571022,3.669,1.274
215.046571042,3.726,1.222
215.046571062,3.762,1.186
215.046571082,3.782,1.171
215.046571102,3.782,1.171
215.046571122,3.772,1.181
215.046571142,3.757,1.202
215.046571162,3.741,1.217
215.046571182,3.726,1.233
215.046571202,3.716,1.243
215.046571222,3.711,1.248
215.046571242,3.716,1.248
215.046571262,3.721,1.243
215.046571282,3.736,1.238
215.046571302,3.747,1.228
215.046571322,3.762,1.212
215.046571342,3.772,1.197
215.046571362,3.782,1.181
215.046571382,3.793,1.171
215.046571402,3.798,1.161
215.046571422,3.808,1.15
215.046571442,3.813,1.14
215.046571462,3.818,1.135
215.046571482,3.824,1.13
215.046571502,3.824,1.13
215.046571522,3.824,1.13
215.046571542,3.824,1.135
215.046571562,3.824,1.135
215.046571582,3.829,1.14
215.046571602,3.824,1.14
215.046571622,3.824,1.145
215.046571642,3.818,1.145
215.046571662,3.818,1.145
215.046571682,3.813,1.15
215.046571702,3.813,1.15
215.046571722,3.808,1.15
215.046571742,3.803,1.15
215.046571762,3.803,1.15
215.046571782,3.803,1.15
215.046571802,3.798,1.15
215.046571822,3.793,1.15
215.046571842,3.793,1.15
215.046571862,3.793,1.155
215.046571882,3.798,1.155
215.046571902,3.798,1.161
215.046571922,3.798,1.161
215.046571942,3.798,1.166
215.046571962,3.798,1.161
215.046571982,3.798,1.161
215.046572002,3.798,1.161
215.046572022,3.798,1.161
215.046572042,3.798,1.166
215.046572062,3.798,1.166
215.046572082,3.798,1.166
215.046572102,3.798,1.166
215.046572122,3.798,1.166
215.046572142,3.798,1.161
215.046572162,3.798,1.161
215.046572182,3.798,1.166
215.046572202,3.798,1.166
215.046572222,3.798,1.166
215.046572242,3.798,1.166
215.046572262,3.798,1.166
215.046572282,3.798,1.166
215.046572302,3.798,1.166
215.046572322,3.798,1.161
215.046572342,3.793,1.161
215.046572362,3.793,1.161
215.046572382,3.793,1.161
215.046572402,3.793,1.161
215.046572422,3.793,1.166
215.046572442,3.798,1.166
215.046572462,3.798,1.171
215.046572482,3.798,1.166
215.046572502,3.798,1.166
215.046572522,3.798,1.166
215.046572542,3.798,1.166
215.046572562,3.798,1.166
215.046572582,3.798,1.166
215.046572602,3.793,1.166
215.046572622,3.793,1.166
215.046572642,3.793,1.166
215.046572662,3.793,1.166
215.046572682,3.798,1.166
215.046572702,3.798,1.166
215.046572722,3.798,1.166
215.046572742,3.798,1.166
215.046572762,3.793,1.166
215.046572782,3.793,1.166
215.046572802,3.793,1.166
215.046572822,3.788,1.171
215.046572842,3.772,1.191
215.046572862,3.726,1.233
215.046572882,3.639,1.32
215.046572902,3.51,1.449
215.046572922,3.356,1.609
215.046572942,3.212,1.754
215.046572962,3.104,1.862
215.046572982,3.042,1.919
215.046573002,3.011,1.95
215.046573022,2.981,1.971
215.046573042,2.945,2.002
215.046573062,2.909,2.038
215.046573082,2.878,2.074
215.046573102,2.847,2.105
215.046573122,2.826,2.12
215.046573142,2.811,2.136
215.046573162,2.806,2.141
215.046573182,2.806,2.141
215.046573202,2.806,2.141
215.046573222,2.811,2.146
215.046573242,2.806,2.156
215.046573262,2.796,2.167
215.046573282,2.78,2.182
215.046573302,2.765,2.192
215.046573322,2.754,2.208
215.046573342,2.739,2.223
215.046573362,2.724,2.234
215.046573382,2.703,2.249
215.046573402,2.688,2.26
215.046573422,2.672,2.27
215.046573442,2.657,2.285
215.046573462,2.641,2.296
215.046573482,2.626,2.311
215.046573502,2.616,2.327
215.046573522,2.605,2.337
215.046573542,2.59,2.352
215.046573562,2.58,2.368
215.046573582,2.569,2.378
215.046573602,2.564,2.389
215.046573622,2.554,2.394
215.046573642,2.549,2.404
215.046573662,2.544,2.409
215.046573682,2.539,2.42
215.046573702,2.539,2.425
215.046573722,2.533,2.425
215.046573742,2.528,2.43
215.046573762,2.528,2.43
215.046573782,2.523,2.43
215.046573802,2.523,2.435
215.046573822,2.518,2.44
215.046573842,2.518,2.44
