Time [s],CAN H,CAN L
232.117376482,2.461,2.45
232.117376502,2.461,2.456
232.117376522,2.461,2.456
232.117376542,2.461,2.456
232.117376562,2.467,2.456
232.117376582,2.461,2.456
232.117376602,2.461,2.45
232.117376622,2.461,2.45
232.117376642,2.461,2.45
232.117376662,2.461,2.45
232.117376682,2.461,2.456
232.117376702,2.467,2.456
232.117376722,2.467,2.456
232.117376742,2.467,2.456
232.117376762,2.467,2.456
232.117376782,2.467,2.456
232.117376802,2.467,2.456
232.117376822,2.467,2.456
232.117376842,2.467,2.456
232.117376862,2.467,2.45
232.117376882,2.467,2.45
232.117376902,2.467,2.456
232.117376922,2.467,2.45
232.117376942,2.477,2.44
232.117376962,2.503,2.414
232.117376982,2.549,2.368
232.117377002,2.621,2.291
232.117377022,2.718,2.192
232.117377042,2.811,2.094
232.117377062,2.898,2.012
232.117377082,2.965,1.945
232.117377102,3.022,1.893
232.117377122,3.073,1.842
232.117377142,3.125,1.795
232.117377162,3.166,1.749
232.117377182,3.196,1.718
232.117377202,3.222,1.692
232.117377222,3.238,1.682
232.117377242,3.253,1.671
232.117377262,3.258,1.666
232.117377282,3.263,1.666
232.117377302,3.263,1.666
232.117377322,3.263,1.666
232.117377342,3.268,1.666
232.117377362,3.268,1.661
232.117377382,3.274,1.656
232.117377402,3.279,1.651
232.117377422,3.284,1.64
232.117377442,3.294,1.635
232.117377462,3.299,1.625
232.117377482,3.31,1.609
232.117377502,3.32,1.604
232.117377522,3.33,1.594
232.117377542,3.335,1.584
232.117377562,3.346,1.573
232.117377582,3.351,1.568
232.117377602,3.356,1.558
232.117377622,3.366,1.553
232.117377642,3.371,1.542
232.117377662,3.376,1.537
232.117377682,3.382,1.532
232.117377702,3.382,1.532
232.117377722,3.387,1.527
232.117377742,3.387,1.522
232.117377762,3.387,1.522
232.117377782,3.392,1.522
232.117377802,3.392,1.522
232.117377822,3.392,1.522
232.117377842,3.392,1.522
232.117377862,3.392,1.522
232.117377882,3.392,1.522
232.117377902,3.387,1.522
232.117377922,3.387,1.522
232.117377942,3.387,1.522
232.117377962,3.387,1.522
232.117377982,3.387,1.522
232.117378002,3.387,1.522
232.117378022,3.382,1.522
232.117378042,3.382,1.522
232.117378062,3.382,1.522
232.117378082,3.382,1.522
232.117378102,3.382,1.522
232.117378122,3.382,1.522
232.117378142,3.382,1.522
232.117378162,3.382,1.522
232.117378182,3.382,1.522
232.117378202,3.382,1.527
232.117378222,3.382,1.527
232.117378242,3.382,1.527
232.117378262,3.382,1.522
232.117378282,3.382,1.522
232.117378302,3.382,1.522
232.117378322,3.382,1.522
232.117378342,3.382,1.522
232.117378362,3.382,1.522
232.117378382,3.382,1.522
232.117378402,3.382,1.522
232.117378422,3.376,1.522
232.117378442,3.376,1.522
232.117378462,3.376,1.522
232.117378482,3.376,1.522
232.117378502,3.376,1.522
232.117378522,3.376,1.517
232.117378542,3.376,1.522
232.117378562,3.376,1.522
232.117378582,3.376,1.522
232.117378602,3.371,1.522
232.117378622,3.371,1.522
232.117378642,3.371,1.522
232.117378662,3.376,1.522
232.117378682,3.376,1.522
232.117378702,3.376,1.522
232.117378722,3.376,1.522
232.117378742,3.376,1.522
232.117378762,3.376,1.522
232.117378782,3.376,1.517
232.117378802,3.376,1.517
232.117378822,3.376,1.522
232.117378842,3.376,1.522
232.117378862,3.371,1.522
232.117378882,3.371,1.517
232.117378902,3.371,1.517
232.117378922,3.371,1.522
232.117378942,3.361,1.532
232.117378962,3.33,1.563
232.117378982,3.274,1.62
232.117379002,3.181,1.713
232.117379022,3.078,1.826
232.117379042,2.981,1.929
232.117379062,2.924,1.991
232.117379082,2.893,2.017
232.117379102,2.878,2.033
232.117379122,2.847,2.063
232.117379142,2.806,2.11
232.117379162,2.765,2.162
232.117379182,2.739,2.187
232.117379202,2.729,2.198
232.117379222,2.724,2.198
232.117379242,2.718,2.198
232.117379262,2.708,2.203
232.117379282,2.703,2.213
232.117379302,2.703,2.218
232.117379322,2.698,2.223
232.117379342,2.693,2.223
232.117379362,2.688,2.229
232.117379382,2.677,2.239
232.117379402,2.672,2.244
232.117379422,2.662,2.249
232.117379442,2.652,2.26
232.117379462,2.641,2.27
232.117379482,2.626,2.28
232.117379502,2.616,2.291
232.117379522,2.605,2.296
232.117379542,2.595,2.306
232.117379562,2.58,2.316
232.117379582,2.569,2.321
232.117379602,2.554,2.332
232.117379622,2.549,2.342
232.117379642,2.539,2.352
232.117379662,2.528,2.363
