Time [s],CAN H,CAN L
235.117926682,2.446,2.42
235.117926702,2.446,2.425
235.117926722,2.441,2.425
235.117926742,2.441,2.425
235.117926762,2.441,2.425
235.117926782,2.441,2.425
235.117926802,2.441,2.425
235.117926822,2.441,2.43
235.117926842,2.441,2.425
235.117926862,2.441,2.425
235.117926882,2.441,2.43
235.117926902,2.441,2.43
235.117926922,2.441,2.43
235.117926942,2.446,2.43
235.117926962,2.446,2.43
235.117926982,2.451,2.435
235.117927002,2.451,2.435
235.117927022,2.451,2.435
235.117927042,2.451,2.435
235.117927062,2.451,2.44
235.117927082,2.451,2.44
235.117927102,2.451,2.44
235.117927122,2.446,2.44
235.117927142,2.446,2.435
235.117927162,2.446,2.435
235.117927182,2.441,2.43
235.117927202,2.446,2.43
235.117927222,2.446,2.425
235.117927242,2.461,2.414
235.117927262,2.487,2.383
235.117927282,2.539,2.332
235.117927302,2.616,2.249
235.117927322,2.713,2.151
235.117927342,2.806,2.058
235.117927362,2.888,1.976
235.117927382,2.95,1.909
235.117927402,3.006,1.857
235.117927422,3.058,1.805
235.117927442,3.104,1.759
235.117927462,3.145,1.718
235.117927482,3.176,1.692
235.117927502,3.202,1.671
235.117927522,3.217,1.656
235.117927542,3.232,1.651
235.117927562,3.238,1.646
235.117927582,3.243,1.646
235.117927602,3.243,1.646
235.117927622,3.243,1.646
235.117927642,3.248,1.646
235.117927662,3.248,1.64
235.117927682,3.253,1.635
235.117927702,3.253,1.625
235.117927722,3.263,1.62
235.117927742,3.268,1.609
235.117927762,3.279,1.604
235.117927782,3.289,1.594
235.117927802,3.299,1.589
235.117927822,3.304,1.578
235.117927842,3.31,1.568
235.117927862,3.32,1.558
235.117927882,3.33,1.547
235.117927902,3.335,1.537
235.117927922,3.346,1.532
235.117927942,3.356,1.527
235.117927962,3.356,1.522
235.117927982,3.361,1.517
235.117928002,3.366,1.517
235.117928022,3.366,1.511
235.117928042,3.371,1.511
235.117928062,3.376,1.511
235.117928082,3.376,1.511
235.117928102,3.376,1.506
235.117928122,3.376,1.506
235.117928142,3.371,1.506
235.117928162,3.371,1.506
235.117928182,3.371,1.501
235.117928202,3.371,1.506
235.117928222,3.371,1.506
235.117928242,3.371,1.511
235.117928262,3.371,1.511
235.117928282,3.371,1.511
235.117928302,3.371,1.511
235.117928322,3.366,1.511
235.117928342,3.366,1.511
235.117928362,3.366,1.511
235.117928382,3.371,1.517
235.117928402,3.366,1.517
235.117928422,3.366,1.517
235.117928442,3.366,1.511
235.117928462,3.366,1.511
235.117928482,3.366,1.511
235.117928502,3.371,1.511
235.117928522,3.366,1.511
235.117928542,3.366,1.511
235.117928562,3.366,1.511
235.117928582,3.366,1.511
235.117928602,3.366,1.511
235.117928622,3.366,1.511
235.117928642,3.366,1.511
235.117928662,3.366,1.511
235.117928682,3.366,1.511
235.117928702,3.366,1.511
235.117928722,3.366,1.511
235.117928742,3.366,1.517
235.117928762,3.366,1.517
235.117928782,3.366,1.517
235.117928802,3.366,1.511
235.117928822,3.366,1.511
235.117928842,3.366,1.511
235.117928862,3.366,1.511
235.117928882,3.366,1.511
235.117928902,3.361,1.511
235.117928922,3.366,1.511
235.117928942,3.366,1.511
235.117928962,3.366,1.511
235.117928982,3.366,1.511
235.117929002,3.371,1.511
235.117929022,3.371,1.511
235.117929042,3.371,1.506
235.117929062,3.366,1.506
235.117929082,3.366,1.511
235.117929102,3.366,1.511
235.117929122,3.366,1.511
235.117929142,3.366,1.511
235.117929162,3.366,1.511
235.117929182,3.361,1.506
235.117929202,3.361,1.506
235.117929222,3.361,1.511
235.117929242,3.356,1.527
235.117929262,3.325,1.558
235.117929282,3.263,1.62
235.117929302,3.171,1.718
235.117929322,3.063,1.831
235.117929342,2.965,1.929
235.117929362,2.914,1.986
235.117929382,2.888,2.012
235.117929402,2.868,2.022
235.117929422,2.832,2.053
235.117929442,2.785,2.1
235.117929462,2.749,2.151
235.117929482,2.724,2.182
235.117929502,2.718,2.192
235.117929522,2.713,2.192
235.117929542,2.708,2.198
235.117929562,2.703,2.203
235.117929582,2.698,2.213
235.117929602,2.693,2.213
235.117929622,2.688,2.213
235.117929642,2.688,2.218
235.117929662,2.682,2.223
235.117929682,2.672,2.234
235.117929702,2.667,2.239
235.117929722,2.652,2.249
235.117929742,2.641,2.254
235.117929762,2.626,2.26
235.117929782,2.616,2.27
235.117929802,2.6,2.28
235.117929822,2.59,2.291
235.117929842,2.58,2.301
235.117929862,2.564,2.316
235.117929882,2.554,2.327
235.117929902,2.549,2.342
235.117929922,2.539,2.347
235.117929942,2.528,2.352
235.117929962,2.523,2.363
235.117929982,2.513,2.368
235.117930002,2.508,2.378
235.117930022,2.503,2.383
235.117930042,2.497,2.389
235.117930062,2.492,2.394
235.117930082,2.487,2.394
235.117930102,2.487,2.399
235.117930122,2.482,2.404
235.117930142,2.482,2.409
235.117930162,2.482,2.414
235.117930182,2.477,2.414
235.117930202,2.477,2.414
235.117930222,2.482,2.42
235.117930242,2.482,2.425
235.117930262,2.482,2.425
235.117930282,2.482,2.425
235.117930302,2.482,2.425
235.117930322,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
235.117930342,2.482,2.425
