Time [s],CAN H,CAN L
228.748407082,2.523,2.512
228.748407102,2.523,2.512
228.748407122,2.523,2.512
228.748407142,2.523,2.512
228.748407162,2.523,2.512
228.748407182,2.523,2.512
228.748407202,2.528,2.512
228.748407222,2.528,2.518
228.748407242,2.533,2.518
228.748407262,2.528,2.518
228.748407282,2.523,2.518
228.748407302,2.518,2.512
228.748407322,2.523,2.512
228.748407342,2.528,2.512
228.748407362,2.528,2.512
228.748407382,2.533,2.518
228.748407402,2.528,2.518
228.748407422,2.528,2.512
228.748407442,2.523,2.512
228.748407462,2.523,2.512
228.748407482,2.528,2.512
228.748407502,2.528,2.512
228.748407522,2.528,2.518
228.748407542,2.528,2.518
228.748407562,2.528,2.518
228.748407582,2.523,2.512
228.748407602,2.523,2.512
228.748407622,2.523,2.512
228.748407642,2.523,2.512
228.748407662,2.528,2.518
228.748407682,2.528,2.518
228.748407702,2.528,2.518
228.748407722,2.528,2.512
228.748407742,2.528,2.512
228.748407762,2.528,2.512
228.748407782,2.533,2.507
228.748407802,2.544,2.497
228.748407822,2.559,2.481
228.748407842,2.58,2.456
228.748407862,2.616,2.425
228.748407882,2.657,2.389
228.748407902,2.703,2.342
228.748407922,2.754,2.285
228.748407942,2.811,2.229
228.748407962,2.868,2.162
228.748407982,2.929,2.094
228.748408002,2.996,2.027
228.748408022,3.058,1.96
228.748408042,3.119,1.893
228.748408062,3.181,1.826
228.748408082,3.232,1.769
228.748408102,3.284,1.713
228.748408122,3.33,1.666
228.748408142,3.376,1.62
228.748408162,3.418,1.584
228.748408182,3.448,1.547
228.748408202,3.479,1.517
228.748408222,3.505,1.491
228.748408242,3.525,1.47
228.748408262,3.546,1.449
228.748408282,3.561,1.439
228.748408302,3.577,1.424
228.748408322,3.582,1.413
228.748408342,3.592,1.408
228.748408362,3.597,1.403
228.748408382,3.603,1.398
228.748408402,3.603,1.398
228.748408422,3.608,1.393
228.748408442,3.608,1.393
228.748408462,3.608,1.393
228.748408482,3.608,1.393
228.748408502,3.603,1.393
228.748408522,3.603,1.393
228.748408542,3.603,1.393
228.748408562,3.603,1.398
228.748408582,3.597,1.403
228.748408602,3.597,1.408
228.748408622,3.597,1.413
228.748408642,3.597,1.413
228.748408662,3.592,1.418
228.748408682,3.587,1.418
228.748408702,3.587,1.424
228.748408722,3.587,1.424
228.748408742,3.587,1.429
228.748408762,3.582,1.429
228.748408782,3.582,1.434
228.748408802,3.577,1.434
228.748408822,3.577,1.439
228.748408842,3.572,1.439
228.748408862,3.572,1.439
228.748408882,3.572,1.444
228.748408902,3.567,1.444
228.748408922,3.567,1.449
228.748408942,3.567,1.449
228.748408962,3.561,1.449
228.748408982,3.561,1.449
228.748409002,3.561,1.449
228.748409022,3.561,1.455
228.748409042,3.561,1.455
