Time [s],CAN H,CAN L
226.528932062,2.477,2.461
226.528932082,2.477,2.461
226.528932102,2.477,2.466
226.528932122,2.472,2.466
226.528932142,2.472,2.471
226.528932162,2.472,2.466
226.528932182,2.472,2.466
226.528932202,2.472,2.461
226.528932222,2.472,2.461
226.528932242,2.472,2.466
226.528932262,2.472,2.466
226.528932282,2.472,2.466
226.528932302,2.472,2.466
226.528932322,2.472,2.466
226.528932342,2.472,2.466
226.528932362,2.472,2.466
226.528932382,2.472,2.466
226.528932402,2.472,2.466
226.528932422,2.472,2.466
226.528932442,2.477,2.461
226.528932462,2.482,2.456
226.528932482,2.497,2.44
226.528932502,2.533,2.404
226.528932522,2.595,2.342
226.528932542,2.677,2.249
226.528932562,2.775,2.151
226.528932582,2.862,2.058
226.528932602,2.939,1.981
226.528932622,3.006,1.924
226.528932642,3.063,1.873
226.528932662,3.114,1.826
226.528932682,3.155,1.78
226.528932702,3.191,1.744
226.528932722,3.217,1.718
226.528932742,3.238,1.697
226.528932762,3.253,1.687
226.528932782,3.263,1.676
226.528932802,3.268,1.676
226.528932822,3.274,1.671
226.528932842,3.274,1.671
226.528932862,3.274,1.671
226.528932882,3.274,1.671
226.528932902,3.274,1.666
226.528932922,3.279,1.666
226.528932942,3.284,1.656
226.528932962,3.294,1.651
226.528932982,3.304,1.64
226.528933002,3.315,1.63
226.528933022,3.32,1.62
226.528933042,3.33,1.609
226.528933062,3.34,1.599
226.528933082,3.351,1.589
226.528933102,3.356,1.584
226.528933122,3.366,1.573
226.528933142,3.371,1.563
226.528933162,3.376,1.558
226.528933182,3.382,1.553
226.528933202,3.387,1.547
226.528933222,3.392,1.542
226.528933242,3.392,1.537
226.528933262,3.397,1.537
226.528933282,3.402,1.537
226.528933302,3.402,1.537
226.528933322,3.402,1.537
226.528933342,3.402,1.537
226.528933362,3.402,1.537
226.528933382,3.402,1.532
226.528933402,3.402,1.532
226.528933422,3.397,1.532
226.528933442,3.397,1.532
226.528933462,3.392,1.532
226.528933482,3.392,1.532
226.528933502,3.392,1.532
226.528933522,3.397,1.532
226.528933542,3.397,1.532
226.528933562,3.397,1.532
226.528933582,3.397,1.537
226.528933602,3.392,1.537
226.528933622,3.392,1.537
226.528933642,3.392,1.537
226.528933662,3.392,1.537
226.528933682,3.392,1.537
226.528933702,3.392,1.537
226.528933722,3.392,1.542
226.528933742,3.392,1.537
226.528933762,3.392,1.537
226.528933782,3.392,1.537
226.528933802,3.392,1.537
226.528933822,3.392,1.537
226.528933842,3.392,1.537
226.528933862,3.392,1.537
226.528933882,3.392,1.537
226.528933902,3.392,1.532
226.528933922,3.392,1.532
226.528933942,3.392,1.532
226.528933962,3.392,1.537
226.528933982,3.392,1.537
226.528934002,3.392,1.532
226.528934022,3.392,1.532
226.528934042,3.392,1.532
226.528934062,3.387,1.532
226.528934082,3.387,1.532
226.528934102,3.387,1.532
226.528934122,3.387,1.532
226.528934142,3.387,1.532
226.528934162,3.387,1.532
226.528934182,3.387,1.532
226.528934202,3.387,1.532
226.528934222,3.387,1.532
226.528934242,3.382,1.532
226.528934262,3.387,1.532
226.528934282,3.387,1.532
226.528934302,3.387,1.532
226.528934322,3.387,1.532
226.528934342,3.387,1.532
226.528934362,3.387,1.532
226.528934382,3.387,1.532
226.528934402,3.387,1.532
226.528934422,3.387,1.532
226.528934442,3.387,1.537
226.528934462,3.382,1.542
226.528934482,3.366,1.558
226.528934502,3.325,1.599
226.528934522,3.243,1.676
226.528934542,3.14,1.785
226.528934562,3.037,1.898
226.528934582,2.96,1.981
226.528934602,2.919,2.022
226.528934622,2.898,2.038
226.528934642,2.878,2.053
226.528934662,2.837,2.094
226.528934682,2.796,2.146
226.528934702,2.765,2.187
226.528934722,2.749,2.208
226.528934742,2.744,2.213
226.528934762,2.734,2.213
226.528934782,2.729,2.223
226.528934802,2.724,2.234
226.528934822,2.718,2.239
226.528934842,2.718,2.239
226.528934862,2.713,2.239
226.528934882,2.703,2.244
226.528934902,2.698,2.249
226.528934922,2.688,2.26
226.528934942,2.677,2.265
226.528934962,2.667,2.275
226.528934982,2.657,2.28
226.528935002,2.646,2.291
226.528935022,2.636,2.301
226.528935042,2.626,2.311
226.528935062,2.616,2.321
226.528935082,2.6,2.332
226.528935102,2.59,2.342
226.528935122,2.575,2.352
226.528935142,2.564,2.358
226.528935162,2.559,2.368
226.528935182,2.549,2.378
226.528935202,2.539,2.383
226.528935222,2.533,2.389
226.528935242,2.528,2.399
226.528935262,2.518,2.404
