Time [s],CAN H,CAN L
240.298628882,2.503,2.461
240.298628902,2.503,2.461
240.298628922,2.503,2.461
240.298628942,2.497,2.461
240.298628962,2.497,2.461
240.298628982,2.492,2.461
240.298629002,2.492,2.466
240.298629022,2.492,2.466
240.298629042,2.492,2.466
240.298629062,2.492,2.471
240.298629082,2.492,2.471
240.298629102,2.492,2.471
240.298629122,2.487,2.471
240.298629142,2.487,2.471
240.298629162,2.487,2.471
240.298629182,2.487,2.471
240.298629202,2.487,2.471
240.298629222,2.487,2.471
240.298629242,2.482,2.466
240.298629262,2.482,2.466
240.298629282,2.482,2.471
240.298629302,2.482,2.471
240.298629322,2.482,2.471
240.298629342,2.487,2.476
240.298629362,2.487,2.471
240.298629382,2.487,2.476
240.298629402,2.487,2.476
240.298629422,2.487,2.476
240.298629442,2.487,2.476
240.298629462,2.487,2.476
240.298629482,2.487,2.481
240.298629502,2.487,2.481
240.298629522,2.487,2.476
240.298629542,2.487,2.476
240.298629562,2.487,2.476
240.298629582,2.487,2.476
240.298629602,2.487,2.476
240.298629622,2.487,2.476
240.298629642,2.487,2.476
240.298629662,2.487,2.476
240.298629682,2.492,2.471
240.298629702,2.508,2.45
240.298629722,2.549,2.414
240.298629742,2.621,2.337
240.298629762,2.729,2.234
240.298629782,2.847,2.115
240.298629802,2.955,2.007
240.298629822,3.037,1.919
240.298629842,3.104,1.852
240.298629862,3.161,1.795
240.298629882,3.217,1.744
240.298629902,3.274,1.687
240.298629922,3.315,1.646
240.298629942,3.351,1.615
240.298629962,3.371,1.594
240.298629982,3.387,1.578
240.298630002,3.397,1.573
240.298630022,3.402,1.568
240.298630042,3.407,1.573
240.298630062,3.407,1.573
240.298630082,3.412,1.573
240.298630102,3.412,1.573
240.298630122,3.418,1.568
240.298630142,3.423,1.563
240.298630162,3.433,1.558
240.298630182,3.438,1.547
240.298630202,3.448,1.537
240.298630222,3.454,1.527
240.298630242,3.469,1.517
240.298630262,3.479,1.501
240.298630282,3.484,1.491
240.298630302,3.495,1.48
240.298630322,3.505,1.47
240.298630342,3.515,1.465
240.298630362,3.52,1.455
240.298630382,3.525,1.449
240.298630402,3.536,1.444
240.298630422,3.541,1.439
240.298630442,3.546,1.439
240.298630462,3.551,1.439
240.298630482,3.551,1.434
240.298630502,3.551,1.434
240.298630522,3.551,1.434
240.298630542,3.551,1.434
240.298630562,3.551,1.434
240.298630582,3.551,1.439
240.298630602,3.551,1.439
240.298630622,3.551,1.439
240.298630642,3.546,1.439
240.298630662,3.546,1.439
240.298630682,3.546,1.444
