Time [s],CAN H,CAN L
214.429904742,2.451,2.435
214.429904762,2.451,2.43
214.429904782,2.451,2.43
214.429904802,2.451,2.43
214.429904822,2.451,2.43
214.429904842,2.451,2.43
214.429904862,2.451,2.43
214.429904882,2.451,2.435
214.429904902,2.451,2.435
214.429904922,2.451,2.44
214.429904942,2.451,2.44
214.429904962,2.451,2.435
214.429904982,2.451,2.435
214.429905002,2.451,2.435
214.429905022,2.451,2.435
214.429905042,2.451,2.435
214.429905062,2.456,2.44
214.429905082,2.456,2.44
214.429905102,2.456,2.44
214.429905122,2.451,2.435
214.429905142,2.451,2.435
214.429905162,2.451,2.435
214.429905182,2.451,2.435
214.429905202,2.451,2.435
214.429905222,2.451,2.435
214.429905242,2.451,2.435
214.429905262,2.451,2.44
214.429905282,2.451,2.435
214.429905302,2.456,2.43
214.429905322,2.472,2.409
214.429905342,2.508,2.368
214.429905362,2.575,2.301
214.429905382,2.662,2.213
214.429905402,2.76,2.11
214.429905422,2.847,2.022
214.429905442,2.924,1.945
214.429905462,2.981,1.888
214.429905482,3.032,1.836
214.429905502,3.083,1.79
214.429905522,3.13,1.744
214.429905542,3.166,1.707
214.429905562,3.196,1.682
214.429905582,3.217,1.666
214.429905602,3.232,1.661
214.429905622,3.238,1.651
214.429905642,3.243,1.651
214.429905662,3.248,1.646
214.429905682,3.248,1.646
214.429905702,3.248,1.646
214.429905722,3.248,1.646
214.429905742,3.253,1.64
214.429905762,3.253,1.635
214.429905782,3.258,1.625
214.429905802,3.268,1.62
214.429905822,3.279,1.609
214.429905842,3.289,1.599
214.429905862,3.299,1.589
214.429905882,3.304,1.578
214.429905902,3.315,1.568
214.429905922,3.32,1.558
214.429905942,3.325,1.553
214.429905962,3.335,1.542
214.429905982,3.34,1.537
214.429906002,3.351,1.532
214.429906022,3.356,1.527
214.429906042,3.361,1.522
214.429906062,3.366,1.517
214.429906082,3.371,1.511
214.429906102,3.371,1.511
214.429906122,3.376,1.506
214.429906142,3.376,1.506
214.429906162,3.376,1.506
214.429906182,3.376,1.506
214.429906202,3.376,1.506
214.429906222,3.376,1.506
214.429906242,3.376,1.506
214.429906262,3.376,1.506
214.429906282,3.376,1.506
214.429906302,3.376,1.506
214.429906322,3.376,1.511
214.429906342,3.371,1.511
214.429906362,3.371,1.511
214.429906382,3.366,1.511
214.429906402,3.371,1.511
214.429906422,3.371,1.506
214.429906442,3.371,1.511
214.429906462,3.371,1.511
214.429906482,3.371,1.511
214.429906502,3.371,1.511
214.429906522,3.371,1.511
214.429906542,3.371,1.506
214.429906562,3.371,1.506
214.429906582,3.371,1.506
214.429906602,3.371,1.506
214.429906622,3.371,1.511
214.429906642,3.371,1.511
214.429906662,3.371,1.511
214.429906682,3.371,1.511
214.429906702,3.371,1.511
214.429906722,3.371,1.511
214.429906742,3.366,1.511
214.429906762,3.366,1.511
214.429906782,3.366,1.511
214.429906802,3.371,1.511
214.429906822,3.371,1.511
214.429906842,3.366,1.511
214.429906862,3.366,1.511
214.429906882,3.366,1.511
214.429906902,3.366,1.511
214.429906922,3.366,1.506
214.429906942,3.371,1.506
214.429906962,3.371,1.506
214.429906982,3.371,1.506
214.429907002,3.366,1.506
214.429907022,3.366,1.506
214.429907042,3.366,1.506
214.429907062,3.366,1.506
214.429907082,3.366,1.506
214.429907102,3.366,1.511
214.429907122,3.366,1.511
214.429907142,3.366,1.511
214.429907162,3.366,1.511
214.429907182,3.366,1.511
214.429907202,3.371,1.511
214.429907222,3.371,1.511
214.429907242,3.366,1.511
214.429907262,3.366,1.517
214.429907282,3.366,1.517
214.429907302,3.361,1.522
214.429907322,3.34,1.537
214.429907342,3.294,1.584
214.429907362,3.217,1.671
214.429907382,3.109,1.78
214.429907402,3.001,1.888
214.429907422,2.929,1.965
214.429907442,2.893,2.002
214.429907462,2.873,2.012
214.429907482,2.847,2.033
214.429907502,2.806,2.079
214.429907522,2.765,2.131
214.429907542,2.734,2.172
214.429907562,2.718,2.187
214.429907582,2.713,2.187
214.429907602,2.708,2.187
214.429907622,2.703,2.192
214.429907642,2.698,2.203
214.429907662,2.693,2.208
214.429907682,2.688,2.208
214.429907702,2.682,2.213
214.429907722,2.677,2.213
214.429907742,2.667,2.218
214.429907762,2.662,2.229
214.429907782,2.652,2.239
214.429907802,2.636,2.244
214.429907822,2.626,2.254
214.429907842,2.616,2.26
214.429907862,2.605,2.27
214.429907882,2.595,2.285
214.429907902,2.585,2.296
214.429907922,2.575,2.306
214.429907942,2.564,2.316
214.429907962,2.549,2.327
214.429907982,2.539,2.332
214.429908002,2.528,2.347
214.429908022,2.518,2.358
214.429908042,2.513,2.363
214.429908062,2.503,2.368
214.429908082,2.497,2.373
214.429908102,2.492,2.378
214.429908122,2.487,2.383
214.429908142,2.487,2.389
214.429908162,2.487,2.394
214.429908182,2.482,2.404
214.429908202,2.482,2.404
214.429908222,2.477,2.409
214.429908242,2.477,2.409
214.429908262,2.477,2.409
214.429908282,2.477,2.414
214.429908302,2.477,2.414
214.429908322,2.477,2.42
214.429908342,2.477,2.42
214.429908362,2.472,2.42
214.429908382,2.472,2.42
214.429908402,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
214.429908422,2.472,2.42
