Time [s],CAN H,CAN L
238.164224142,2.554,2.518
238.164224162,2.554,2.518
238.164224182,2.554,2.512
238.164224202,2.554,2.512
238.164224222,2.554,2.518
238.164224242,2.554,2.518
238.164224262,2.549,2.518
238.164224282,2.554,2.518
238.164224302,2.554,2.518
238.164224322,2.554,2.518
238.164224342,2.554,2.518
238.164224362,2.549,2.518
238.164224382,2.549,2.518
238.164224402,2.549,2.523
238.164224422,2.549,2.523
238.164224442,2.549,2.523
238.164224462,2.549,2.523
238.164224482,2.549,2.523
238.164224502,2.549,2.523
238.164224522,2.549,2.528
238.164224542,2.549,2.528
238.164224562,2.549,2.528
238.164224582,2.549,2.523
238.164224602,2.549,2.523
238.164224622,2.544,2.523
238.164224642,2.544,2.528
238.164224662,2.549,2.528
238.164224682,2.549,2.528
238.164224702,2.549,2.528
238.164224722,2.549,2.528
238.164224742,2.544,2.528
238.164224762,2.544,2.528
238.164224782,2.544,2.528
238.164224802,2.544,2.528
238.164224822,2.549,2.523
238.164224842,2.554,2.518
238.164224862,2.564,2.507
238.164224882,2.585,2.492
238.164224902,2.611,2.461
238.164224922,2.641,2.43
238.164224942,2.682,2.389
238.164224962,2.729,2.347
238.164224982,2.78,2.296
238.164225002,2.837,2.244
238.164225022,2.893,2.177
238.164225042,2.955,2.11
238.164225062,3.017,2.043
238.164225082,3.078,1.976
238.164225102,3.14,1.914
238.164225122,3.202,1.852
238.164225142,3.258,1.79
238.164225162,3.31,1.733
238.164225182,3.361,1.682
238.164225202,3.407,1.635
238.164225222,3.443,1.599
238.164225242,3.484,1.563
238.164225262,3.515,1.532
238.164225282,3.546,1.501
238.164225302,3.567,1.48
238.164225322,3.587,1.46
238.164225342,3.603,1.444
238.164225362,3.618,1.429
238.164225382,3.633,1.418
238.164225402,3.639,1.413
238.164225422,3.649,1.408
238.164225442,3.654,1.403
238.164225462,3.654,1.398
238.164225482,3.659,1.398
238.164225502,3.659,1.393
238.164225522,3.664,1.393
238.164225542,3.659,1.393
238.164225562,3.659,1.393
238.164225582,3.659,1.393
238.164225602,3.659,1.398
238.164225622,3.654,1.398
238.164225642,3.654,1.398
238.164225662,3.654,1.398
238.164225682,3.654,1.403
238.164225702,3.654,1.403
238.164225722,3.649,1.408
238.164225742,3.644,1.408
238.164225762,3.639,1.408
238.164225782,3.639,1.413
238.164225802,3.639,1.418
238.164225822,3.633,1.418
238.164225842,3.633,1.424
238.164225862,3.628,1.429
238.164225882,3.623,1.429
238.164225902,3.623,1.434
238.164225922,3.623,1.434
238.164225942,3.623,1.434
238.164225962,3.618,1.439
238.164225982,3.618,1.439
238.164226002,3.613,1.444
238.164226022,3.613,1.444
238.164226042,3.613,1.444
238.164226062,3.613,1.444
238.164226082,3.613,1.449
238.164226102,3.618,1.449
238.164226122,3.613,1.455
238.164226142,3.613,1.455
238.164226162,3.608,1.46
238.164226182,3.608,1.46
238.164226202,3.608,1.46
238.164226222,3.608,1.455
238.164226242,3.608,1.455
238.164226262,3.608,1.455
238.164226282,3.603,1.455
238.164226302,3.603,1.46
238.164226322,3.603,1.46
238.164226342,3.603,1.455
238.164226362,3.603,1.455
238.164226382,3.608,1.455
238.164226402,3.608,1.455
238.164226422,3.608,1.46
238.164226442,3.608,1.46
238.164226462,3.608,1.46
238.164226482,3.603,1.46
238.164226502,3.603,1.46
238.164226522,3.603,1.46
238.164226542,3.603,1.46
238.164226562,3.603,1.46
238.164226582,3.603,1.455
238.164226602,3.603,1.455
238.164226622,3.603,1.449
238.164226642,3.603,1.449
238.164226662,3.603,1.449
238.164226682,3.603,1.449
238.164226702,3.603,1.449
238.164226722,3.603,1.449
238.164226742,3.603,1.455
238.164226762,3.603,1.455
238.164226782,3.597,1.46
238.164226802,3.592,1.465
238.164226822,3.577,1.475
238.164226842,3.556,1.496
238.164226862,3.525,1.527
238.164226882,3.489,1.568
238.164226902,3.443,1.615
238.164226922,3.397,1.661
238.164226942,3.351,1.713
238.164226962,3.299,1.769
238.164226982,3.243,1.831
238.164227002,3.186,1.888
238.164227022,3.13,1.95
238.164227042,3.078,2.007
238.164227062,3.032,2.063
238.164227082,2.981,2.115
238.164227102,2.939,2.162
238.164227122,2.898,2.203
238.164227142,2.862,2.244
238.164227162,2.826,2.275
238.164227182,2.796,2.306
238.164227202,2.77,2.332
238.164227222,2.744,2.347
238.164227242,2.729,2.363
238.164227262,2.713,2.378
238.164227282,2.698,2.389
238.164227302,2.688,2.399
238.164227322,2.677,2.409
238.164227342,2.672,2.414
238.164227362,2.667,2.42
238.164227382,2.662,2.42
238.164227402,2.657,2.425
238.164227422,2.652,2.43
238.164227442,2.652,2.43
238.164227462,2.646,2.435
238.164227482,2.646,2.435
238.164227502,2.641,2.44
238.164227522,2.636,2.44
238.164227542,2.631,2.445
238.164227562,2.631,2.45
238.164227582,2.626,2.456
238.164227602,2.626,2.461
238.164227622,2.621,2.461
