Time [s],CAN H,CAN L
214.648574722,2.605,2.512
214.648574742,2.605,2.518
214.648574762,2.6,2.523
214.648574782,2.595,2.523
214.648574802,2.585,2.528
214.648574822,2.58,2.528
214.648574842,2.575,2.523
214.648574862,2.569,2.523
214.648574882,2.569,2.523
214.648574902,2.564,2.518
214.648574922,2.559,2.518
214.648574942,2.554,2.518
214.648574962,2.554,2.518
214.648574982,2.554,2.518
214.648575002,2.549,2.518
214.648575022,2.549,2.512
214.648575042,2.549,2.512
214.648575062,2.549,2.507
214.648575082,2.549,2.507
214.648575102,2.549,2.507
214.648575122,2.544,2.512
214.648575142,2.544,2.512
214.648575162,2.544,2.512
214.648575182,2.544,2.512
214.648575202,2.544,2.518
214.648575222,2.544,2.518
214.648575242,2.544,2.523
214.648575262,2.549,2.528
214.648575282,2.549,2.528
214.648575302,2.554,2.533
214.648575322,2.554,2.533
214.648575342,2.554,2.533
214.648575362,2.554,2.538
214.648575382,2.554,2.538
214.648575402,2.554,2.543
214.648575422,2.549,2.543
214.648575442,2.549,2.543
214.648575462,2.549,2.543
214.648575482,2.549,2.543
214.648575502,2.549,2.538
214.648575522,2.549,2.538
214.648575542,2.549,2.538
214.648575562,2.544,2.533
214.648575582,2.544,2.538
214.648575602,2.544,2.533
214.648575622,2.549,2.533
214.648575642,2.564,2.518
214.648575662,2.6,2.481
214.648575682,2.667,2.414
214.648575702,2.775,2.301
214.648575722,2.914,2.156
214.648575742,3.073,1.991
214.648575762,3.232,1.826
214.648575782,3.376,1.671
214.648575802,3.51,1.537
214.648575822,3.628,1.424
214.648575842,3.736,1.32
214.648575862,3.834,1.233
214.648575882,3.916,1.155
214.648575902,3.983,1.093
214.648575922,4.034,1.042
214.648575942,4.07,1.006
214.648575962,4.096,0.99
214.648575982,4.106,0.98
214.648576002,4.111,0.975
214.648576022,4.101,0.98
214.648576042,4.091,0.985
214.648576062,4.081,0.995
214.648576082,4.07,1.001
214.648576102,4.06,1.011
214.648576122,4.05,1.016
214.648576142,4.04,1.026
214.648576162,4.029,1.037
214.648576182,4.024,1.042
214.648576202,4.014,1.052
214.648576222,4.014,1.057
214.648576242,4.014,1.062
214.648576262,4.014,1.068
214.648576282,4.009,1.068
214.648576302,4.009,1.073
214.648576322,4.004,1.068
214.648576342,4.004,1.068
214.648576362,4.004,1.068
214.648576382,4.009,1.068
214.648576402,4.009,1.068
