Time [s],CAN H,CAN L
214.368861802,2.451,2.44
214.368861822,2.451,2.445
214.368861842,2.451,2.445
214.368861862,2.451,2.445
214.368861882,2.456,2.445
214.368861902,2.456,2.445
214.368861922,2.456,2.445
214.368861942,2.456,2.445
214.368861962,2.456,2.445
214.368861982,2.456,2.445
214.368862002,2.456,2.45
214.368862022,2.456,2.45
214.368862042,2.456,2.45
214.368862062,2.451,2.445
214.368862082,2.451,2.445
214.368862102,2.456,2.445
214.368862122,2.456,2.45
214.368862142,2.461,2.45
214.368862162,2.461,2.45
214.368862182,2.456,2.45
214.368862202,2.456,2.45
214.368862222,2.456,2.45
214.368862242,2.461,2.445
214.368862262,2.467,2.445
214.368862282,2.472,2.435
214.368862302,2.497,2.414
214.368862322,2.544,2.363
214.368862342,2.616,2.28
214.368862362,2.708,2.187
214.368862382,2.806,2.084
214.368862402,2.888,2.002
214.368862422,2.955,1.934
214.368862442,3.017,1.883
214.368862462,3.068,1.831
214.368862482,3.114,1.785
214.368862502,3.161,1.738
214.368862522,3.191,1.707
214.368862542,3.217,1.687
214.368862562,3.232,1.671
214.368862582,3.248,1.666
214.368862602,3.253,1.666
214.368862622,3.258,1.661
214.368862642,3.263,1.661
214.368862662,3.263,1.661
214.368862682,3.263,1.661
214.368862702,3.263,1.656
214.368862722,3.268,1.651
214.368862742,3.268,1.646
214.368862762,3.279,1.64
214.368862782,3.284,1.63
214.368862802,3.294,1.62
214.368862822,3.299,1.615
214.368862842,3.31,1.604
214.368862862,3.32,1.594
214.368862882,3.33,1.584
214.368862902,3.34,1.578
214.368862922,3.346,1.568
214.368862942,3.356,1.563
214.368862962,3.361,1.553
214.368862982,3.366,1.542
214.368863002,3.371,1.537
214.368863022,3.376,1.532
214.368863042,3.382,1.527
214.368863062,3.382,1.522
214.368863082,3.387,1.522
214.368863102,3.387,1.522
214.368863122,3.392,1.522
214.368863142,3.392,1.522
214.368863162,3.392,1.522
214.368863182,3.392,1.522
214.368863202,3.392,1.522
214.368863222,3.392,1.522
214.368863242,3.392,1.522
214.368863262,3.392,1.522
214.368863282,3.387,1.522
214.368863302,3.387,1.522
214.368863322,3.382,1.522
214.368863342,3.382,1.522
214.368863362,3.382,1.517
214.368863382,3.382,1.522
214.368863402,3.382,1.522
214.368863422,3.382,1.522
214.368863442,3.387,1.522
214.368863462,3.382,1.522
214.368863482,3.382,1.522
214.368863502,3.382,1.522
214.368863522,3.376,1.522
214.368863542,3.382,1.522
214.368863562,3.382,1.522
214.368863582,3.376,1.522
214.368863602,3.376,1.522
214.368863622,3.376,1.517
214.368863642,3.376,1.522
214.368863662,3.376,1.522
214.368863682,3.376,1.522
