Time [s],CAN H,CAN L
247.031198322,2.559,2.554
247.031198342,2.559,2.549
247.031198362,2.559,2.549
247.031198382,2.559,2.554
247.031198402,2.559,2.554
247.031198422,2.559,2.554
247.031198442,2.559,2.554
247.031198462,2.559,2.554
247.031198482,2.559,2.554
247.031198502,2.554,2.554
247.031198522,2.554,2.554
247.031198542,2.554,2.554
247.031198562,2.554,2.554
247.031198582,2.554,2.554
247.031198602,2.554,2.554
247.031198622,2.554,2.554
247.031198642,2.559,2.554
247.031198662,2.559,2.549
247.031198682,2.559,2.549
247.031198702,2.559,2.549
247.031198722,2.564,2.538
247.031198742,2.59,2.518
247.031198762,2.641,2.466
247.031198782,2.729,2.378
247.031198802,2.842,2.27
247.031198822,2.96,2.151
247.031198842,3.058,2.048
247.031198862,3.135,1.971
247.031198882,3.191,1.914
247.031198902,3.253,1.857
247.031198922,3.31,1.8
247.031198942,3.361,1.749
247.031198962,3.402,1.707
247.031198982,3.428,1.682
247.031199002,3.448,1.666
247.031199022,3.464,1.661
247.031199042,3.474,1.656
247.031199062,3.484,1.656
247.031199082,3.484,1.656
247.031199102,3.484,1.656
247.031199122,3.484,1.651
247.031199142,3.489,1.651
247.031199162,3.495,1.646
247.031199182,3.505,1.64
247.031199202,3.51,1.63
247.031199222,3.515,1.62
247.031199242,3.525,1.615
247.031199262,3.536,1.604
247.031199282,3.546,1.594
247.031199302,3.556,1.584
247.031199322,3.567,1.573
247.031199342,3.577,1.568
247.031199362,3.587,1.558
247.031199382,3.592,1.553
247.031199402,3.597,1.547
247.031199422,3.608,1.542
247.031199442,3.613,1.537
247.031199462,3.618,1.527
247.031199482,3.623,1.522
247.031199502,3.628,1.522
247.031199522,3.628,1.527
247.031199542,3.628,1.527
247.031199562,3.628,1.527
247.031199582,3.628,1.527
247.031199602,3.623,1.527
247.031199622,3.623,1.527
247.031199642,3.623,1.532
247.031199662,3.623,1.532
247.031199682,3.623,1.532
247.031199702,3.618,1.532
247.031199722,3.618,1.537
247.031199742,3.618,1.537
247.031199762,3.623,1.537
247.031199782,3.618,1.537
247.031199802,3.618,1.537
247.031199822,3.618,1.542
247.031199842,3.618,1.547
247.031199862,3.618,1.547
247.031199882,3.623,1.547
247.031199902,3.623,1.547
247.031199922,3.623,1.553
247.031199942,3.623,1.553
247.031199962,3.623,1.547
247.031199982,3.618,1.547
247.031200002,3.618,1.547
247.031200022,3.618,1.547
247.031200042,3.618,1.553
247.031200062,3.618,1.553
247.031200082,3.618,1.553
247.031200102,3.618,1.553
247.031200122,3.618,1.553
247.031200142,3.618,1.553
247.031200162,3.623,1.553
247.031200182,3.623,1.558
247.031200202,3.623,1.558
247.031200222,3.623,1.558
247.031200242,3.623,1.563
247.031200262,3.623,1.563
247.031200282,3.623,1.563
247.031200302,3.623,1.563
247.031200322,3.623,1.563
247.031200342,3.623,1.558
247.031200362,3.618,1.558
247.031200382,3.618,1.558
247.031200402,3.618,1.563
247.031200422,3.618,1.563
247.031200442,3.623,1.563
247.031200462,3.623,1.563
247.031200482,3.623,1.563
247.031200502,3.623,1.563
247.031200522,3.623,1.563
247.031200542,3.628,1.563
247.031200562,3.628,1.568
247.031200582,3.628,1.568
247.031200602,3.628,1.568
247.031200622,3.628,1.568
247.031200642,3.628,1.568
247.031200662,3.628,1.568
247.031200682,3.628,1.568
247.031200702,3.628,1.573
247.031200722,3.623,1.578
247.031200742,3.608,1.594
247.031200762,3.567,1.635
247.031200782,3.479,1.718
247.031200802,3.356,1.842
247.031200822,3.207,1.991
247.031200842,3.078,2.125
247.031200862,2.996,2.203
247.031200882,2.975,2.218
247.031200902,2.986,2.203
247.031200922,2.986,2.187
247.031200942,2.955,2.198
247.031200962,2.903,2.234
247.031200982,2.857,2.275
247.031201002,2.821,2.301
247.031201022,2.801,2.311
247.031201042,2.801,2.301
247.031201062,2.806,2.285
247.031201082,2.806,2.28
247.031201102,2.806,2.275
247.031201122,2.801,2.28
247.031201142,2.796,2.291
247.031201162,2.785,2.306
247.031201182,2.78,2.321
247.031201202,2.77,2.337
247.031201222,2.765,2.352
247.031201242,2.765,2.368
247.031201262,2.76,2.383
247.031201282,2.749,2.394
247.031201302,2.744,2.409
247.031201322,2.734,2.425
247.031201342,2.724,2.44
247.031201362,2.713,2.456
247.031201382,2.703,2.466
247.031201402,2.693,2.476
247.031201422,2.677,2.481
247.031201442,2.667,2.492
247.031201462,2.657,2.497
247.031201482,2.646,2.502
247.031201502,2.636,2.507
247.031201522,2.626,2.512
247.031201542,2.621,2.518
247.031201562,2.611,2.518
247.031201582,2.605,2.523
247.031201602,2.6,2.523
247.031201622,2.595,2.523
247.031201642,2.59,2.523
247.031201662,2.585,2.523
247.031201682,2.585,2.523
247.031201702,2.585,2.528
247.031201722,2.585,2.528
247.031201742,2.585,2.528
247.031201762,2.58,2.533
247.031201782,2.585,2.533
247.031201802,2.585,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
247.031201822,2.59,2.538
