Time [s],CAN H,CAN L
240.650117562,2.528,2.507
240.650117582,2.523,2.507
240.650117602,2.523,2.507
240.650117622,2.518,2.507
240.650117642,2.518,2.507
240.650117662,2.518,2.507
240.650117682,2.518,2.507
240.650117702,2.518,2.507
240.650117722,2.518,2.507
240.650117742,2.518,2.507
240.650117762,2.523,2.507
240.650117782,2.523,2.512
240.650117802,2.518,2.507
240.650117822,2.518,2.507
240.650117842,2.518,2.507
240.650117862,2.518,2.507
240.650117882,2.518,2.507
240.650117902,2.518,2.507
240.650117922,2.518,2.507
240.650117942,2.518,2.507
240.650117962,2.518,2.512
240.650117982,2.518,2.512
240.650118002,2.518,2.512
240.650118022,2.518,2.512
240.650118042,2.518,2.512
240.650118062,2.518,2.512
240.650118082,2.518,2.512
240.650118102,2.518,2.512
240.650118122,2.518,2.512
240.650118142,2.528,2.502
240.650118162,2.554,2.476
240.650118182,2.611,2.42
240.650118202,2.693,2.337
240.650118222,2.801,2.229
240.650118242,2.914,2.115
240.650118262,3.011,2.012
240.650118282,3.089,1.929
240.650118302,3.155,1.857
240.650118322,3.217,1.795
240.650118342,3.274,1.738
240.650118362,3.325,1.692
240.650118382,3.361,1.656
240.650118402,3.387,1.635
240.650118422,3.407,1.62
240.650118442,3.418,1.609
240.650118462,3.428,1.609
240.650118482,3.433,1.604
240.650118502,3.438,1.604
240.650118522,3.438,1.604
240.650118542,3.433,1.604
240.650118562,3.433,1.604
240.650118582,3.438,1.599
240.650118602,3.443,1.594
240.650118622,3.448,1.584
240.650118642,3.454,1.578
240.650118662,3.464,1.568
240.650118682,3.474,1.558
240.650118702,3.484,1.547
240.650118722,3.495,1.537
240.650118742,3.505,1.527
240.650118762,3.515,1.517
240.650118782,3.525,1.506
240.650118802,3.531,1.501
240.650118822,3.536,1.491
240.650118842,3.541,1.486
240.650118862,3.546,1.48
240.650118882,3.551,1.475
240.650118902,3.556,1.475
240.650118922,3.561,1.47
240.650118942,3.567,1.465
240.650118962,3.567,1.465
240.650118982,3.567,1.465
240.650119002,3.567,1.465
240.650119022,3.567,1.47
240.650119042,3.567,1.465
240.650119062,3.567,1.465
240.650119082,3.567,1.465
240.650119102,3.561,1.465
240.650119122,3.561,1.47
240.650119142,3.556,1.47
240.650119162,3.556,1.47
240.650119182,3.556,1.47
240.650119202,3.556,1.47
240.650119222,3.556,1.47
240.650119242,3.551,1.475
240.650119262,3.556,1.475
240.650119282,3.556,1.475
240.650119302,3.556,1.475
240.650119322,3.556,1.475
240.650119342,3.556,1.475
240.650119362,3.556,1.475
240.650119382,3.556,1.475
240.650119402,3.556,1.475
240.650119422,3.556,1.475
240.650119442,3.551,1.47
240.650119462,3.551,1.475
240.650119482,3.551,1.475
240.650119502,3.551,1.475
240.650119522,3.551,1.475
240.650119542,3.551,1.475
240.650119562,3.551,1.475
240.650119582,3.551,1.475
240.650119602,3.551,1.475
240.650119622,3.551,1.475
240.650119642,3.551,1.475
240.650119662,3.551,1.475
240.650119682,3.551,1.475
240.650119702,3.551,1.475
240.650119722,3.551,1.475
240.650119742,3.551,1.47
240.650119762,3.551,1.475
240.650119782,3.551,1.475
240.650119802,3.546,1.475
240.650119822,3.546,1.475
240.650119842,3.546,1.47
240.650119862,3.546,1.47
240.650119882,3.546,1.47
240.650119902,3.546,1.47
240.650119922,3.546,1.47
240.650119942,3.551,1.475
240.650119962,3.551,1.475
240.650119982,3.551,1.475
240.650120002,3.551,1.475
240.650120022,3.551,1.47
240.650120042,3.551,1.47
240.650120062,3.551,1.47
240.650120082,3.551,1.47
240.650120102,3.551,1.475
240.650120122,3.546,1.475
240.650120142,3.536,1.486
240.650120162,3.51,1.506
240.650120182,3.443,1.563
240.650120202,3.34,1.666
240.650120222,3.212,1.795
240.650120242,3.094,1.914
240.650120262,3.017,1.991
240.650120282,2.991,2.022
240.650120302,2.981,2.033
240.650120322,2.95,2.058
240.650120342,2.893,2.11
240.650120362,2.837,2.167
240.650120382,2.801,2.203
240.650120402,2.796,2.218
