Time [s],CAN H,CAN L
229.644430122,2.544,2.538
229.644430142,2.544,2.538
229.644430162,2.539,2.538
229.644430182,2.539,2.533
229.644430202,2.539,2.533
229.644430222,2.533,2.533
229.644430242,2.533,2.533
229.644430262,2.533,2.533
229.644430282,2.539,2.533
229.644430302,2.539,2.533
229.644430322,2.539,2.533
229.644430342,2.539,2.533
229.644430362,2.539,2.533
229.644430382,2.539,2.533
229.644430402,2.544,2.538
229.644430422,2.544,2.538
229.644430442,2.544,2.538
229.644430462,2.544,2.538
229.644430482,2.544,2.538
229.644430502,2.539,2.538
229.644430522,2.539,2.533
229.644430542,2.539,2.533
229.644430562,2.539,2.533
229.644430582,2.539,2.533
229.644430602,2.539,2.533
229.644430622,2.539,2.533
229.644430642,2.539,2.533
229.644430662,2.539,2.533
229.644430682,2.539,2.533
229.644430702,2.539,2.538
229.644430722,2.539,2.538
229.644430742,2.544,2.533
229.644430762,2.544,2.533
229.644430782,2.549,2.528
229.644430802,2.559,2.518
229.644430822,2.575,2.497
229.644430842,2.6,2.476
229.644430862,2.636,2.44
229.644430882,2.672,2.399
229.644430902,2.718,2.352
229.644430922,2.765,2.306
229.644430942,2.821,2.249
229.644430962,2.883,2.187
229.644430982,2.945,2.12
229.644431002,3.011,2.058
229.644431022,3.073,1.991
229.644431042,3.135,1.924
229.644431062,3.196,1.857
229.644431082,3.253,1.8
229.644431102,3.31,1.744
229.644431122,3.356,1.692
229.644431142,3.402,1.646
229.644431162,3.443,1.604
229.644431182,3.479,1.568
229.644431202,3.51,1.537
229.644431222,3.541,1.511
229.644431242,3.561,1.486
229.644431262,3.582,1.465
229.644431282,3.597,1.449
229.644431302,3.613,1.439
229.644431322,3.623,1.424
229.644431342,3.633,1.413
229.644431362,3.639,1.408
229.644431382,3.649,1.408
229.644431402,3.649,1.403
229.644431422,3.654,1.403
229.644431442,3.654,1.398
229.644431462,3.654,1.398
229.644431482,3.654,1.398
229.644431502,3.654,1.398
229.644431522,3.654,1.398
229.644431542,3.654,1.398
229.644431562,3.654,1.398
229.644431582,3.649,1.398
229.644431602,3.649,1.403
229.644431622,3.649,1.403
229.644431642,3.644,1.408
229.644431662,3.644,1.413
229.644431682,3.644,1.418
229.644431702,3.639,1.418
229.644431722,3.639,1.418
229.644431742,3.633,1.424
229.644431762,3.628,1.429
229.644431782,3.628,1.429
229.644431802,3.623,1.434
229.644431822,3.623,1.434
229.644431842,3.618,1.434
229.644431862,3.618,1.439
229.644431882,3.613,1.439
229.644431902,3.613,1.444
229.644431922,3.613,1.444
229.644431942,3.608,1.444
229.644431962,3.608,1.444
229.644431982,3.608,1.449
229.644432002,3.603,1.449
229.644432022,3.608,1.455
229.644432042,3.608,1.455
229.644432062,3.603,1.455
229.644432082,3.597,1.455
229.644432102,3.597,1.455
229.644432122,3.592,1.455
229.644432142,3.597,1.455
229.644432162,3.597,1.46
229.644432182,3.597,1.46
229.644432202,3.597,1.46
229.644432222,3.597,1.46
229.644432242,3.597,1.46
229.644432262,3.597,1.455
229.644432282,3.597,1.455
229.644432302,3.597,1.46
229.644432322,3.597,1.46
229.644432342,3.597,1.46
229.644432362,3.597,1.455
229.644432382,3.597,1.455
229.644432402,3.592,1.455
229.644432422,3.592,1.46
229.644432442,3.592,1.46
229.644432462,3.592,1.46
229.644432482,3.592,1.455
229.644432502,3.592,1.455
229.644432522,3.597,1.455
229.644432542,3.597,1.455
229.644432562,3.597,1.455
229.644432582,3.592,1.455
229.644432602,3.597,1.455
229.644432622,3.597,1.455
229.644432642,3.597,1.455
229.644432662,3.592,1.455
229.644432682,3.592,1.449
229.644432702,3.592,1.455
229.644432722,3.592,1.455
229.644432742,3.582,1.465
229.644432762,3.572,1.475
229.644432782,3.546,1.501
229.644432802,3.515,1.532
229.644432822,3.474,1.573
229.644432842,3.433,1.615
229.644432862,3.387,1.666
229.644432882,3.34,1.718
229.644432902,3.289,1.775
229.644432922,3.232,1.836
229.644432942,3.181,1.893
229.644432962,3.125,1.955
229.644432982,3.073,2.017
229.644433002,3.027,2.074
229.644433022,2.975,2.125
229.644433042,2.929,2.172
229.644433062,2.893,2.213
229.644433082,2.852,2.249
229.644433102,2.821,2.28
229.644433122,2.79,2.306
229.644433142,2.76,2.332
229.644433162,2.729,2.347
229.644433182,2.713,2.363
229.644433202,2.703,2.378
229.644433222,2.698,2.399
229.644433242,2.693,2.414
229.644433262,2.688,2.42
229.644433282,2.677,2.425
229.644433302,2.662,2.425
229.644433322,2.652,2.42
229.644433342,2.636,2.414
229.644433362,2.631,2.409
229.644433382,2.631,2.414
229.644433402,2.631,2.42
229.644433422,2.631,2.43
229.644433442,2.636,2.435
229.644433462,2.636,2.445
229.644433482,2.631,2.45
229.644433502,2.626,2.456
229.644433522,2.626,2.456
229.644433542,2.621,2.461
229.644433562,2.616,2.466
229.644433582,2.611,2.466
229.644433602,2.605,2.471
229.644433622,2.6,2.471
229.644433642,2.59,2.476
229.644433662,2.585,2.481
229.644433682,2.585,2.481
229.644433702,2.585,2.487
229.644433722,2.585,2.497
229.644433742,2.585,2.502
229.644433762,2.585,2.507
229.644433782,2.58,2.512
229.644433802,2.58,2.512
229.644433822,2.575,2.518
229.644433842,2.575,2.518
229.644433862,2.569,2.512
229.644433882,2.564,2.512
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
229.644433902,2.559,2.507
