Time [s],CAN H,CAN L
213.494562162,2.554,2.528
213.494562182,2.554,2.528
213.494562202,2.554,2.528
213.494562222,2.554,2.528
213.494562242,2.554,2.528
213.494562262,2.554,2.528
213.494562282,2.549,2.533
213.494562302,2.549,2.533
213.494562322,2.549,2.533
213.494562342,2.549,2.533
213.494562362,2.549,2.528
213.494562382,2.549,2.528
213.494562402,2.549,2.528
213.494562422,2.549,2.528
213.494562442,2.549,2.528
213.494562462,2.549,2.528
213.494562482,2.544,2.528
213.494562502,2.544,2.528
213.494562522,2.544,2.528
213.494562542,2.544,2.528
213.494562562,2.549,2.533
213.494562582,2.549,2.533
213.494562602,2.549,2.533
213.494562622,2.549,2.533
213.494562642,2.549,2.533
213.494562662,2.549,2.533
213.494562682,2.549,2.533
213.494562702,2.549,2.533
213.494562722,2.554,2.528
213.494562742,2.569,2.512
213.494562762,2.605,2.476
213.494562782,2.677,2.409
213.494562802,2.785,2.306
213.494562822,2.909,2.182
213.494562842,3.022,2.063
213.494562862,3.114,1.971
213.494562882,3.181,1.898
213.494562902,3.238,1.842
213.494562922,3.294,1.785
213.494562942,3.346,1.733
213.494562962,3.392,1.687
213.494562982,3.423,1.656
213.494563002,3.448,1.635
213.494563022,3.459,1.625
213.494563042,3.469,1.62
213.494563062,3.474,1.62
213.494563082,3.479,1.62
213.494563102,3.479,1.62
213.494563122,3.479,1.62
213.494563142,3.479,1.62
213.494563162,3.484,1.615
213.494563182,3.489,1.609
213.494563202,3.495,1.604
213.494563222,3.505,1.594
213.494563242,3.515,1.584
213.494563262,3.52,1.573
213.494563282,3.531,1.563
213.494563302,3.541,1.553
213.494563322,3.551,1.542
213.494563342,3.561,1.532
213.494563362,3.572,1.527
213.494563382,3.577,1.517
213.494563402,3.582,1.506
213.494563422,3.587,1.496
213.494563442,3.592,1.491
213.494563462,3.597,1.491
213.494563482,3.603,1.486
213.494563502,3.603,1.486
213.494563522,3.608,1.486
213.494563542,3.608,1.486
213.494563562,3.608,1.486
213.494563582,3.608,1.486
213.494563602,3.608,1.491
213.494563622,3.608,1.491
213.494563642,3.608,1.491
213.494563662,3.603,1.491
213.494563682,3.603,1.486
213.494563702,3.597,1.491
213.494563722,3.597,1.491
213.494563742,3.597,1.491
213.494563762,3.592,1.491
213.494563782,3.592,1.491
213.494563802,3.592,1.491
213.494563822,3.592,1.491
213.494563842,3.592,1.496
213.494563862,3.592,1.496
213.494563882,3.592,1.496
213.494563902,3.592,1.496
213.494563922,3.592,1.496
213.494563942,3.592,1.496
213.494563962,3.592,1.496
213.494563982,3.592,1.496
213.494564002,3.592,1.496
213.494564022,3.592,1.496
213.494564042,3.587,1.496
213.494564062,3.587,1.496
213.494564082,3.587,1.496
213.494564102,3.587,1.496
213.494564122,3.587,1.501
213.494564142,3.592,1.501
213.494564162,3.592,1.501
213.494564182,3.587,1.501
213.494564202,3.587,1.501
213.494564222,3.587,1.501
213.494564242,3.592,1.501
213.494564262,3.592,1.496
213.494564282,3.587,1.496
213.494564302,3.587,1.491
213.494564322,3.587,1.491
213.494564342,3.587,1.496
213.494564362,3.587,1.496
213.494564382,3.587,1.501
213.494564402,3.587,1.501
213.494564422,3.587,1.501
213.494564442,3.592,1.496
213.494564462,3.592,1.496
213.494564482,3.587,1.496
213.494564502,3.587,1.491
213.494564522,3.587,1.496
213.494564542,3.592,1.496
213.494564562,3.592,1.496
213.494564582,3.587,1.496
213.494564602,3.587,1.496
213.494564622,3.587,1.496
213.494564642,3.587,1.496
213.494564662,3.587,1.496
213.494564682,3.587,1.496
213.494564702,3.587,1.501
213.494564722,3.582,1.501
213.494564742,3.567,1.517
213.494564762,3.531,1.547
213.494564782,3.459,1.615
213.494564802,3.351,1.723
213.494564822,3.217,1.857
213.494564842,3.104,1.976
213.494564862,3.037,2.048
213.494564882,3.017,2.069
213.494564902,3.006,2.079
213.494564922,2.975,2.1
213.494564942,2.924,2.151
213.494564962,2.868,2.203
213.494564982,2.837,2.239
213.494565002,2.832,2.249
213.494565022,2.832,2.249
213.494565042,2.826,2.249
213.494565062,2.821,2.254
213.494565082,2.811,2.265
213.494565102,2.806,2.275
213.494565122,2.806,2.28
213.494565142,2.801,2.28
213.494565162,2.796,2.285
213.494565182,2.785,2.296
213.494565202,2.775,2.306
213.494565222,2.77,2.316
213.494565242,2.76,2.332
213.494565262,2.744,2.342
213.494565282,2.734,2.352
213.494565302,2.718,2.363
213.494565322,2.708,2.373
213.494565342,2.693,2.389
213.494565362,2.677,2.399
213.494565382,2.667,2.409
213.494565402,2.657,2.42
213.494565422,2.646,2.43
213.494565442,2.641,2.435
213.494565462,2.631,2.45
213.494565482,2.621,2.461
213.494565502,2.611,2.471
213.494565522,2.605,2.476
213.494565542,2.595,2.481
213.494565562,2.59,2.487
213.494565582,2.59,2.492
213.494565602,2.585,2.497
213.494565622,2.585,2.502
213.494565642,2.585,2.502
213.494565662,2.585,2.507
213.494565682,2.58,2.507
213.494565702,2.575,2.507
213.494565722,2.575,2.507
213.494565742,2.575,2.507
213.494565762,2.575,2.512
213.494565782,2.575,2.512
213.494565802,2.569,2.507
213.494565822,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
213.494565842,2.569,2.507
