Time [s],CAN H,CAN L
254.429702402,2.431,2.414
254.429702422,2.431,2.42
254.429702442,2.431,2.42
254.429702462,2.436,2.42
254.429702482,2.436,2.425
254.429702502,2.436,2.425
254.429702522,2.436,2.425
254.429702542,2.436,2.425
254.429702562,2.436,2.425
254.429702582,2.436,2.42
254.429702602,2.436,2.42
254.429702622,2.436,2.42
254.429702642,2.436,2.425
254.429702662,2.436,2.425
254.429702682,2.436,2.425
254.429702702,2.436,2.425
254.429702722,2.436,2.43
254.429702742,2.436,2.43
254.429702762,2.436,2.43
254.429702782,2.436,2.43
254.429702802,2.436,2.43
254.429702822,2.436,2.43
254.429702842,2.436,2.43
254.429702862,2.436,2.425
254.429702882,2.436,2.425
254.429702902,2.436,2.425
254.429702922,2.436,2.425
254.429702942,2.446,2.414
254.429702962,2.467,2.394
254.429702982,2.513,2.342
254.429703002,2.585,2.265
254.429703022,2.677,2.167
254.429703042,2.77,2.069
254.429703062,2.857,1.981
254.429703082,2.924,1.914
254.429703102,2.986,1.862
254.429703122,3.037,1.811
254.429703142,3.089,1.764
254.429703162,3.13,1.723
254.429703182,3.166,1.692
254.429703202,3.191,1.666
254.429703222,3.207,1.656
254.429703242,3.217,1.646
254.429703262,3.227,1.64
254.429703282,3.232,1.64
254.429703302,3.232,1.64
254.429703322,3.232,1.64
254.429703342,3.232,1.635
254.429703362,3.238,1.635
254.429703382,3.238,1.63
254.429703402,3.243,1.625
254.429703422,3.248,1.615
254.429703442,3.258,1.604
254.429703462,3.263,1.594
254.429703482,3.274,1.584
254.429703502,3.284,1.578
254.429703522,3.294,1.568
254.429703542,3.304,1.563
254.429703562,3.315,1.553
254.429703582,3.325,1.547
254.429703602,3.33,1.537
254.429703622,3.335,1.532
254.429703642,3.34,1.527
254.429703662,3.346,1.522
254.429703682,3.351,1.511
254.429703702,3.356,1.506
254.429703722,3.356,1.501
254.429703742,3.356,1.501
254.429703762,3.361,1.501
254.429703782,3.361,1.496
254.429703802,3.361,1.496
254.429703822,3.361,1.501
254.429703842,3.366,1.501
254.429703862,3.366,1.501
254.429703882,3.366,1.501
254.429703902,3.366,1.501
254.429703922,3.366,1.501
254.429703942,3.366,1.501
254.429703962,3.361,1.501
254.429703982,3.361,1.501
254.429704002,3.361,1.501
254.429704022,3.356,1.501
254.429704042,3.356,1.501
254.429704062,3.356,1.501
254.429704082,3.361,1.501
254.429704102,3.356,1.506
254.429704122,3.356,1.506
254.429704142,3.351,1.506
254.429704162,3.351,1.506
254.429704182,3.351,1.506
254.429704202,3.356,1.506
254.429704222,3.356,1.506
254.429704242,3.356,1.506
254.429704262,3.356,1.506
254.429704282,3.356,1.506
254.429704302,3.356,1.506
254.429704322,3.356,1.501
254.429704342,3.356,1.501
254.429704362,3.356,1.501
254.429704382,3.356,1.501
254.429704402,3.356,1.506
254.429704422,3.356,1.506
254.429704442,3.356,1.506
254.429704462,3.356,1.506
254.429704482,3.356,1.506
254.429704502,3.356,1.506
254.429704522,3.356,1.506
254.429704542,3.356,1.506
254.429704562,3.356,1.501
254.429704582,3.356,1.501
254.429704602,3.356,1.501
254.429704622,3.356,1.501
254.429704642,3.356,1.501
254.429704662,3.351,1.501
254.429704682,3.356,1.501
254.429704702,3.356,1.501
254.429704722,3.356,1.506
254.429704742,3.356,1.506
254.429704762,3.356,1.506
254.429704782,3.356,1.501
254.429704802,3.356,1.501
254.429704822,3.356,1.501
254.429704842,3.356,1.501
254.429704862,3.356,1.501
254.429704882,3.356,1.501
254.429704902,3.356,1.501
254.429704922,3.351,1.506
254.429704942,3.34,1.517
254.429704962,3.31,1.542
254.429704982,3.258,1.604
254.429705002,3.166,1.697
254.429705022,3.058,1.816
254.429705042,2.96,1.919
254.429705062,2.903,1.976
254.429705082,2.873,1.996
254.429705102,2.857,2.012
254.429705122,2.826,2.043
254.429705142,2.78,2.089
254.429705162,2.739,2.141
254.429705182,2.718,2.172
254.429705202,2.703,2.177
254.429705222,2.698,2.177
254.429705242,2.693,2.182
254.429705262,2.682,2.187
254.429705282,2.682,2.198
254.429705302,2.677,2.198
254.429705322,2.672,2.203
254.429705342,2.667,2.203
254.429705362,2.662,2.208
254.429705382,2.657,2.213
254.429705402,2.646,2.223
254.429705422,2.636,2.234
254.429705442,2.626,2.244
254.429705462,2.611,2.254
254.429705482,2.6,2.26
254.429705502,2.59,2.27
254.429705522,2.58,2.28
254.429705542,2.569,2.291
254.429705562,2.559,2.301
254.429705582,2.544,2.311
254.429705602,2.533,2.321
254.429705622,2.523,2.327
254.429705642,2.518,2.337
254.429705662,2.508,2.347
254.429705682,2.503,2.352
254.429705702,2.492,2.358
254.429705722,2.487,2.368
254.429705742,2.482,2.373
254.429705762,2.477,2.378
254.429705782,2.477,2.383
254.429705802,2.472,2.389
254.429705822,2.467,2.394
254.429705842,2.467,2.394
254.429705862,2.467,2.399
254.429705882,2.467,2.399
254.429705902,2.467,2.404
254.429705922,2.467,2.404
254.429705942,2.467,2.404
254.429705962,2.467,2.404
254.429705982,2.461,2.409
254.429706002,2.461,2.409
254.429706022,2.461,2.409
254.429706042,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
254.429706062,2.461,2.414
