Time [s],Can H,Can L
1.667299162,2.595,2.585
1.667299182,2.595,2.585
1.667299202,2.595,2.585
1.667299222,2.595,2.585
1.667299242,2.595,2.585
1.667299262,2.595,2.585
1.667299282,2.595,2.585
1.667299302,2.595,2.585
1.667299322,2.59,2.585
1.667299342,2.59,2.585
1.667299362,2.59,2.59
1.667299382,2.59,2.59
1.667299402,2.59,2.59
1.667299422,2.59,2.59
1.667299442,2.59,2.59
1.667299462,2.59,2.59
1.667299482,2.595,2.59
1.667299502,2.595,2.59
1.667299522,2.595,2.59
1.667299542,2.595,2.59
1.667299562,2.595,2.59
1.667299582,2.595,2.59
1.667299602,2.595,2.59
1.667299622,2.595,2.585
1.667299642,2.595,2.585
1.667299662,2.595,2.585
1.667299682,2.6,2.59
1.667299702,2.6,2.59
1.667299722,2.6,2.59
1.667299742,2.611,2.579
1.667299762,2.646,2.549
1.667299782,2.729,2.466
1.667299802,2.893,2.296
1.667299822,3.114,2.043
1.667299842,3.33,1.754
1.667299862,3.469,1.522
1.667299882,3.5,1.418
1.667299902,3.469,1.424
1.667299922,3.438,1.47
1.667299942,3.423,1.486
1.667299962,3.428,1.47
1.667299982,3.438,1.449
1.667300002,3.459,1.46
1.667300022,3.484,1.491
1.667300042,3.489,1.511
1.667300062,3.474,1.506
1.667300082,3.454,1.475
1.667300102,3.443,1.46
1.667300122,3.459,1.465
1.667300142,3.474,1.48
1.667300162,3.474,1.491
1.667300182,3.464,1.48
1.667300202,3.454,1.47
1.667300222,3.464,1.47
1.667300242,3.484,1.486
1.667300262,3.489,1.491
1.667300282,3.479,1.486
1.667300302,3.464,1.475
1.667300322,3.464,1.47
1.667300342,3.474,1.48
1.667300362,3.479,1.486
1.667300382,3.479,1.486
1.667300402,3.469,1.48
1.667300422,3.469,1.475
1.667300442,3.474,1.48
1.667300462,3.479,1.486
1.667300482,3.479,1.486
1.667300502,3.469,1.48
1.667300522,3.464,1.475
1.667300542,3.464,1.47
1.667300562,3.469,1.475
1.667300582,3.469,1.475
1.667300602,3.469,1.475
1.667300622,3.464,1.475
1.667300642,3.464,1.475
1.667300662,3.469,1.475
1.667300682,3.469,1.48
1.667300702,3.469,1.48
1.667300722,3.464,1.475
1.667300742,3.464,1.475
1.667300762,3.469,1.475
1.667300782,3.469,1.475
1.667300802,3.469,1.48
1.667300822,3.469,1.475
1.667300842,3.469,1.475
1.667300862,3.469,1.475
1.667300882,3.469,1.475
1.667300902,3.469,1.475
1.667300922,3.464,1.475
1.667300942,3.464,1.475
1.667300962,3.464,1.475
1.667300982,3.464,1.475
1.667301002,3.469,1.48
1.667301022,3.469,1.48
1.667301042,3.469,1.48
1.667301062,3.469,1.48
1.667301082,3.469,1.48
1.667301102,3.469,1.48
1.667301122,3.469,1.48
1.667301142,3.474,1.48
1.667301162,3.469,1.486
1.667301182,3.469,1.486
1.667301202,3.469,1.48
1.667301222,3.469,1.48
1.667301242,3.474,1.48
1.667301262,3.469,1.48
1.667301282,3.469,1.48
1.667301302,3.469,1.48
1.667301322,3.469,1.48
1.667301342,3.469,1.48
1.667301362,3.469,1.48
1.667301382,3.469,1.48
1.667301402,3.469,1.48
1.667301422,3.469,1.48
1.667301442,3.469,1.48
1.667301462,3.469,1.48
1.667301482,3.469,1.475
1.667301502,3.469,1.475
1.667301522,3.469,1.475
1.667301542,3.469,1.48
1.667301562,3.469,1.48
1.667301582,3.469,1.48
1.667301602,3.474,1.48
1.667301622,3.474,1.48
1.667301642,3.474,1.486
1.667301662,3.474,1.48
1.667301682,3.474,1.48
1.667301702,3.469,1.48
1.667301722,3.464,1.48
1.667301742,3.443,1.496
1.667301762,3.392,1.553
1.667301782,3.279,1.666
1.667301802,3.089,1.852
1.667301822,2.868,2.079
1.667301842,2.688,2.291
1.667301862,2.59,2.43
1.667301882,2.575,2.487
1.667301902,2.575,2.492
1.667301922,2.564,2.481
1.667301942,2.544,2.487
1.667301962,2.533,2.507
1.667301982,2.544,2.528
1.667302002,2.559,2.543
1.667302022,2.564,2.538
1.667302042,2.554,2.528
1.667302062,2.539,2.523
1.667302082,2.539,2.523
1.667302102,2.549,2.533
1.667302122,2.559,2.543
1.667302142,2.559,2.543
1.667302162,2.549,2.533
1.667302182,2.549,2.533
1.667302202,2.554,2.538
1.667302222,2.559,2.549
1.667302242,2.564,2.554
1.667302262,2.559,2.554
1.667302282,2.554,2.549
1.667302302,2.554,2.543
1.667302322,2.559,2.549
1.667302342,2.564,2.559
1.667302362,2.564,2.559
1.667302382,2.564,2.554
1.667302402,2.559,2.554
1.667302422,2.564,2.554
1.667302442,2.569,2.559
1.667302462,2.575,2.559
