Time [s],Can H,Can L
0.243477222,2.636,2.631
0.243477242,2.636,2.631
0.243477262,2.636,2.631
0.243477282,2.636,2.631
0.243477302,2.636,2.631
0.243477322,2.636,2.631
0.243477342,2.636,2.626
0.243477362,2.636,2.626
0.243477382,2.636,2.631
0.243477402,2.636,2.631
0.243477422,2.636,2.631
0.243477442,2.636,2.626
0.243477462,2.636,2.626
0.243477482,2.631,2.626
0.243477502,2.631,2.626
0.243477522,2.631,2.626
0.243477542,2.631,2.621
0.243477562,2.631,2.621
0.243477582,2.631,2.621
0.243477602,2.631,2.621
0.243477622,2.631,2.621
0.243477642,2.626,2.621
0.243477662,2.626,2.621
0.243477682,2.626,2.621
0.243477702,2.631,2.626
0.243477722,2.631,2.626
0.243477742,2.626,2.621
0.243477762,2.621,2.616
0.243477782,2.616,2.616
0.243477802,2.626,2.61
0.243477822,2.646,2.605
0.243477842,2.693,2.569
0.243477862,2.796,2.476
0.243477882,2.97,2.296
0.243477902,3.217,2.048
0.243477922,3.474,1.785
0.243477942,3.675,1.594
0.243477962,3.788,1.527
0.243477982,3.829,1.553
0.243478002,3.839,1.62
0.243478022,3.854,1.671
0.243478042,3.875,1.682
0.243478062,3.885,1.671
0.243478082,3.89,1.666
0.243478102,3.88,1.661
0.243478122,3.86,1.651
0.243478142,3.834,1.625
0.243478162,3.818,1.599
0.243478182,3.813,1.589
0.243478202,3.818,1.589
0.243478222,3.824,1.599
0.243478242,3.829,1.609
0.243478262,3.839,1.62
0.243478282,3.854,1.625
0.243478302,3.865,1.635
0.243478322,3.865,1.64
0.243478342,3.86,1.64
0.243478362,3.854,1.63
0.243478382,3.849,1.625
0.243478402,3.844,1.62
0.243478422,3.844,1.615
0.243478442,3.839,1.615
0.243478462,3.839,1.609
0.243478482,3.844,1.615
0.243478502,3.849,1.615
0.243478522,3.854,1.625
0.243478542,3.86,1.63
0.243478562,3.86,1.63
0.243478582,3.86,1.635
0.243478602,3.86,1.635
0.243478622,3.854,1.63
0.243478642,3.854,1.63
0.243478662,3.854,1.625
0.243478682,3.849,1.62
0.243478702,3.844,1.615
0.243478722,3.839,1.615
0.243478742,3.839,1.615
0.243478762,3.844,1.615
0.243478782,3.844,1.62
0.243478802,3.844,1.62
0.243478822,3.849,1.625
0.243478842,3.854,1.63
0.243478862,3.854,1.63
0.243478882,3.854,1.635
0.243478902,3.854,1.635
0.243478922,3.854,1.63
0.243478942,3.854,1.63
0.243478962,3.854,1.63
0.243478982,3.849,1.625
0.243479002,3.849,1.625
0.243479022,3.844,1.625
0.243479042,3.844,1.625
0.243479062,3.849,1.625
0.243479082,3.849,1.62
0.243479102,3.849,1.62
0.243479122,3.849,1.62
0.243479142,3.854,1.625
0.243479162,3.854,1.625
0.243479182,3.854,1.625
0.243479202,3.854,1.63
0.243479222,3.86,1.63
0.243479242,3.86,1.635
0.243479262,3.86,1.635
0.243479282,3.854,1.63
0.243479302,3.854,1.63
0.243479322,3.854,1.63
0.243479342,3.854,1.63
0.243479362,3.854,1.63
0.243479382,3.849,1.625
0.243479402,3.844,1.62
0.243479422,3.844,1.62
0.243479442,3.839,1.615
0.243479462,3.844,1.615
0.243479482,3.844,1.62
0.243479502,3.849,1.625
0.243479522,3.849,1.63
0.243479542,3.854,1.63
0.243479562,3.854,1.63
0.243479582,3.854,1.63
0.243479602,3.854,1.635
0.243479622,3.854,1.635
0.243479642,3.854,1.63
0.243479662,3.854,1.63
0.243479682,3.854,1.63
0.243479702,3.849,1.625
0.243479722,3.849,1.62
0.243479742,3.844,1.62
0.243479762,3.844,1.62
0.243479782,3.844,1.62
0.243479802,3.839,1.625
0.243479822,3.824,1.635
0.243479842,3.777,1.671
0.243479862,3.675,1.769
0.243479882,3.479,1.94
0.243479902,3.222,2.167
0.243479922,2.955,2.394
0.243479942,2.765,2.549
0.243479962,2.677,2.61
0.243479982,2.672,2.616
0.243480002,2.693,2.61
0.243480022,2.713,2.631
0.243480042,2.708,2.662
0.243480062,2.693,2.672
0.243480082,2.682,2.667
0.243480102,2.677,2.652
0.243480122,2.682,2.647
0.243480142,2.688,2.652
0.243480162,2.682,2.657
0.243480182,2.677,2.657
0.243480202,2.672,2.657
0.243480222,2.667,2.652
0.243480242,2.672,2.652
0.243480262,2.672,2.657
0.243480282,2.672,2.657
0.243480302,2.667,2.657
0.243480322,2.662,2.652
0.243480342,2.662,2.647
0.243480362,2.662,2.647
0.243480382,2.662,2.652
0.243480402,2.662,2.652
0.243480422,2.662,2.652
0.243480442,2.662,2.652
0.243480462,2.657,2.647
0.243480482,2.657,2.647
0.243480502,2.657,2.647
0.243480522,2.657,2.647
0.243480542,2.657,2.647
