Time [s],Can H,Can L
2.683407762,2.621,2.616
2.683407782,2.621,2.616
2.683407802,2.621,2.616
2.683407822,2.621,2.616
2.683407842,2.626,2.616
2.683407862,2.626,2.616
2.683407882,2.626,2.616
2.683407902,2.626,2.616
2.683407922,2.626,2.616
2.683407942,2.626,2.616
2.683407962,2.626,2.616
2.683407982,2.626,2.616
2.683408002,2.626,2.616
2.683408022,2.626,2.616
2.683408042,2.626,2.616
2.683408062,2.626,2.621
2.683408082,2.626,2.621
2.683408102,2.626,2.621
2.683408122,2.626,2.616
2.683408142,2.626,2.616
2.683408162,2.626,2.616
2.683408182,2.626,2.616
2.683408202,2.626,2.621
2.683408222,2.621,2.616
2.683408242,2.621,2.616
2.683408262,2.616,2.61
2.683408282,2.616,2.61
2.683408302,2.621,2.61
2.683408322,2.626,2.616
2.683408342,2.636,2.61
2.683408362,2.667,2.579
2.683408382,2.749,2.497
2.683408402,2.909,2.342
2.683408422,3.14,2.11
2.683408442,3.397,1.847
2.683408462,3.613,1.63
2.683408482,3.741,1.522
2.683408502,3.788,1.527
2.683408522,3.803,1.589
2.683408542,3.808,1.635
2.683408562,3.813,1.646
2.683408582,3.813,1.625
2.683408602,3.808,1.599
2.683408622,3.803,1.594
2.683408642,3.788,1.584
2.683408662,3.772,1.573
2.683408682,3.762,1.563
2.683408702,3.762,1.558
2.683408722,3.777,1.573
2.683408742,3.793,1.589
2.683408762,3.803,1.599
2.683408782,3.803,1.599
2.683408802,3.808,1.594
2.683408822,3.808,1.594
2.683408842,3.803,1.599
2.683408862,3.798,1.594
2.683408882,3.788,1.584
2.683408902,3.782,1.578
2.683408922,3.782,1.573
2.683408942,3.782,1.573
2.683408962,3.788,1.578
2.683408982,3.788,1.578
2.683409002,3.788,1.584
2.683409022,3.788,1.584
2.683409042,3.793,1.589
2.683409062,3.793,1.589
2.683409082,3.793,1.589
2.683409102,3.793,1.589
2.683409122,3.793,1.589
2.683409142,3.793,1.584
2.683409162,3.788,1.584
2.683409182,3.788,1.584
2.683409202,3.788,1.584
2.683409222,3.788,1.584
2.683409242,3.788,1.578
2.683409262,3.788,1.578
2.683409282,3.788,1.578
2.683409302,3.782,1.578
2.683409322,3.782,1.573
2.683409342,3.782,1.573
2.683409362,3.788,1.578
2.683409382,3.788,1.578
2.683409402,3.782,1.578
2.683409422,3.782,1.578
2.683409442,3.788,1.578
2.683409462,3.793,1.584
2.683409482,3.793,1.589
2.683409502,3.793,1.589
2.683409522,3.793,1.589
2.683409542,3.793,1.589
2.683409562,3.793,1.589
2.683409582,3.793,1.584
2.683409602,3.788,1.584
2.683409622,3.788,1.584
2.683409642,3.793,1.584
2.683409662,3.793,1.584
2.683409682,3.793,1.584
2.683409702,3.793,1.584
2.683409722,3.793,1.584
2.683409742,3.793,1.584
2.683409762,3.793,1.584
2.683409782,3.793,1.589
2.683409802,3.793,1.589
2.683409822,3.793,1.589
2.683409842,3.798,1.594
2.683409862,3.798,1.594
2.683409882,3.798,1.594
2.683409902,3.793,1.589
2.683409922,3.793,1.589
2.683409942,3.793,1.589
2.683409962,3.793,1.589
2.683409982,3.793,1.589
2.683410002,3.793,1.594
2.683410022,3.793,1.594
2.683410042,3.793,1.594
2.683410062,3.798,1.589
2.683410082,3.798,1.589
2.683410102,3.793,1.589
2.683410122,3.788,1.589
2.683410142,3.793,1.589
2.683410162,3.793,1.594
2.683410182,3.798,1.594
2.683410202,3.798,1.594
2.683410222,3.793,1.594
2.683410242,3.798,1.594
2.683410262,3.798,1.594
2.683410282,3.798,1.594
2.683410302,3.798,1.594
2.683410322,3.793,1.589
2.683410342,3.782,1.599
2.683410362,3.752,1.625
2.683410382,3.664,1.702
2.683410402,3.495,1.842
2.683410422,3.248,2.053
2.683410442,2.975,2.285
2.683410462,2.754,2.466
2.683410482,2.641,2.559
2.683410502,2.626,2.585
2.683410522,2.652,2.579
2.683410542,2.672,2.59
2.683410562,2.667,2.61
2.683410582,2.652,2.626
2.683410602,2.646,2.631
2.683410622,2.646,2.626
2.683410642,2.652,2.626
2.683410662,2.657,2.626
2.683410682,2.646,2.626
2.683410702,2.641,2.621
2.683410722,2.641,2.621
2.683410742,2.641,2.621
2.683410762,2.646,2.626
2.683410782,2.646,2.621
2.683410802,2.641,2.621
2.683410822,2.636,2.621
2.683410842,2.631,2.621
2.683410862,2.631,2.621
2.683410882,2.636,2.621
2.683410902,2.636,2.621
2.683410922,2.631,2.621
2.683410942,2.631,2.621
2.683410962,2.631,2.621
2.683410982,2.631,2.621
2.683411002,2.631,2.621
2.683411022,2.631,2.621
2.683411042,2.631,2.621
2.683411062,2.631,2.621
2.683411082,2.631,2.621
