Time [s],Can H,Can L
18.685285242,2.621,2.61
18.685285262,2.621,2.61
18.685285282,2.621,2.61
18.685285302,2.621,2.61
18.685285322,2.621,2.61
18.685285342,2.621,2.61
18.685285362,2.621,2.61
18.685285382,2.621,2.616
18.685285402,2.621,2.61
18.685285422,2.621,2.61
18.685285442,2.621,2.61
18.685285462,2.621,2.61
18.685285482,2.626,2.61
18.685285502,2.626,2.61
18.685285522,2.621,2.616
18.685285542,2.621,2.616
18.685285562,2.621,2.616
18.685285582,2.621,2.61
18.685285602,2.621,2.61
18.685285622,2.626,2.61
18.685285642,2.626,2.616
18.685285662,2.626,2.61
18.685285682,2.621,2.61
18.685285702,2.621,2.616
18.685285722,2.621,2.616
18.685285742,2.621,2.616
18.685285762,2.621,2.616
18.685285782,2.621,2.616
18.685285802,2.621,2.61
18.685285822,2.626,2.605
18.685285842,2.641,2.59
18.685285862,2.698,2.543
18.685285882,2.811,2.43
18.685285902,3.006,2.239
18.685285922,3.258,1.981
18.685285942,3.505,1.723
18.685285962,3.68,1.558
18.685285982,3.767,1.511
18.685286002,3.798,1.553
18.685286022,3.803,1.615
18.685286042,3.813,1.646
18.685286062,3.818,1.635
18.685286082,3.813,1.609
18.685286102,3.803,1.599
18.685286122,3.793,1.594
18.685286142,3.777,1.584
18.685286162,3.767,1.568
18.685286182,3.762,1.563
18.685286202,3.772,1.563
18.685286222,3.788,1.578
18.685286242,3.793,1.589
18.685286262,3.793,1.594
18.685286282,3.793,1.594
18.685286302,3.793,1.594
18.685286322,3.793,1.594
18.685286342,3.793,1.589
18.685286362,3.788,1.584
18.685286382,3.782,1.578
18.685286402,3.782,1.573
18.685286422,3.788,1.578
18.685286442,3.793,1.578
18.685286462,3.793,1.584
18.685286482,3.798,1.584
18.685286502,3.798,1.584
18.685286522,3.798,1.584
18.685286542,3.793,1.584
18.685286562,3.788,1.578
18.685286582,3.782,1.578
18.685286602,3.782,1.573
18.685286622,3.777,1.573
18.685286642,3.777,1.568
18.685286662,3.777,1.568
18.685286682,3.777,1.573
18.685286702,3.782,1.573
18.685286722,3.782,1.578
18.685286742,3.788,1.584
18.685286762,3.793,1.589
18.685286782,3.793,1.589
18.685286802,3.798,1.589
18.685286822,3.798,1.589
18.685286842,3.798,1.589
18.685286862,3.793,1.584
18.685286882,3.793,1.584
18.685286902,3.788,1.584
18.685286922,3.788,1.584
18.685286942,3.782,1.584
18.685286962,3.782,1.578
18.685286982,3.782,1.578
18.685287002,3.788,1.578
18.685287022,3.788,1.578
18.685287042,3.788,1.584
18.685287062,3.793,1.584
18.685287082,3.793,1.584
18.685287102,3.793,1.584
18.685287122,3.793,1.584
18.685287142,3.793,1.584
18.685287162,3.793,1.584
18.685287182,3.793,1.589
18.685287202,3.788,1.589
18.685287222,3.793,1.589
18.685287242,3.793,1.589
18.685287262,3.793,1.584
18.685287282,3.793,1.589
18.685287302,3.793,1.589
18.685287322,3.788,1.589
18.685287342,3.788,1.589
18.685287362,3.788,1.589
18.685287382,3.788,1.584
18.685287402,3.788,1.584
18.685287422,3.788,1.584
18.685287442,3.788,1.584
18.685287462,3.788,1.584
18.685287482,3.793,1.584
18.685287502,3.793,1.589
18.685287522,3.798,1.594
18.685287542,3.798,1.594
18.685287562,3.798,1.594
18.685287582,3.798,1.594
18.685287602,3.798,1.594
18.685287622,3.798,1.594
18.685287642,3.793,1.594
18.685287662,3.793,1.589
18.685287682,3.793,1.589
18.685287702,3.788,1.584
18.685287722,3.788,1.584
18.685287742,3.788,1.578
18.685287762,3.782,1.578
18.685287782,3.788,1.578
18.685287802,3.788,1.584
18.685287822,3.788,1.594
18.685287842,3.772,1.609
18.685287862,3.716,1.661
18.685287882,3.592,1.764
18.685287902,3.387,1.945
18.685287922,3.125,2.172
18.685287942,2.868,2.389
18.685287962,2.693,2.523
18.685287982,2.626,2.574
18.685288002,2.641,2.579
18.685288022,2.667,2.585
18.685288042,2.677,2.605
18.685288062,2.662,2.626
18.685288082,2.646,2.636
18.685288102,2.641,2.626
18.685288122,2.646,2.621
18.685288142,2.657,2.626
18.685288162,2.657,2.626
18.685288182,2.646,2.626
18.685288202,2.641,2.621
18.685288222,2.641,2.616
18.685288242,2.641,2.621
18.685288262,2.646,2.621
18.685288282,2.641,2.626
18.685288302,2.636,2.621
18.685288322,2.631,2.621
18.685288342,2.631,2.616
18.685288362,2.636,2.621
18.685288382,2.636,2.621
18.685288402,2.636,2.621
18.685288422,2.631,2.621
18.685288442,2.631,2.621
18.685288462,2.631,2.621
18.685288482,2.636,2.626
18.685288502,2.636,2.626
18.685288522,2.631,2.621
18.685288542,2.626,2.616
18.685288562,2.626,2.616
