Time [s],Can H,Can L
0.687471222,2.621,2.616
0.687471242,2.621,2.616
0.687471262,2.621,2.616
0.687471282,2.621,2.616
0.687471302,2.621,2.621
0.687471322,2.621,2.621
0.687471342,2.621,2.621
0.687471362,2.621,2.621
0.687471382,2.621,2.621
0.687471402,2.621,2.616
0.687471422,2.621,2.616
0.687471442,2.621,2.616
0.687471462,2.626,2.616
0.687471482,2.626,2.621
0.687471502,2.626,2.621
0.687471522,2.626,2.616
0.687471542,2.621,2.616
0.687471562,2.621,2.616
0.687471582,2.621,2.616
0.687471602,2.621,2.616
0.687471622,2.621,2.616
0.687471642,2.621,2.616
0.687471662,2.621,2.616
0.687471682,2.621,2.616
0.687471702,2.621,2.616
0.687471722,2.621,2.616
0.687471742,2.621,2.616
0.687471762,2.626,2.616
0.687471782,2.626,2.616
0.687471802,2.631,2.61
0.687471822,2.652,2.595
0.687471842,2.713,2.533
0.687471862,2.842,2.409
0.687471882,3.053,2.198
0.687471902,3.31,1.94
0.687471922,3.546,1.697
0.687471942,3.705,1.547
0.687471962,3.782,1.522
0.687471982,3.803,1.573
0.687472002,3.808,1.63
0.687472022,3.813,1.646
0.687472042,3.813,1.63
0.687472062,3.808,1.604
0.687472082,3.798,1.594
0.687472102,3.788,1.589
0.687472122,3.772,1.578
0.687472142,3.757,1.563
0.687472162,3.762,1.563
0.687472182,3.777,1.573
0.687472202,3.793,1.589
0.687472222,3.803,1.599
0.687472242,3.803,1.599
0.687472262,3.803,1.604
0.687472282,3.808,1.604
0.687472302,3.808,1.604
0.687472322,3.803,1.599
0.687472342,3.793,1.589
0.687472362,3.788,1.584
0.687472382,3.788,1.578
0.687472402,3.793,1.584
0.687472422,3.793,1.584
0.687472442,3.788,1.584
0.687472462,3.788,1.584
0.687472482,3.793,1.589
0.687472502,3.793,1.589
0.687472522,3.793,1.589
0.687472542,3.793,1.589
0.687472562,3.793,1.589
0.687472582,3.793,1.589
0.687472602,3.793,1.589
0.687472622,3.798,1.589
0.687472642,3.798,1.589
0.687472662,3.798,1.589
0.687472682,3.798,1.589
0.687472702,3.798,1.589
0.687472722,3.798,1.589
0.687472742,3.798,1.589
0.687472762,3.793,1.589
0.687472782,3.793,1.589
0.687472802,3.793,1.589
0.687472822,3.793,1.584
0.687472842,3.788,1.584
0.687472862,3.788,1.584
0.687472882,3.793,1.584
0.687472902,3.793,1.584
0.687472922,3.798,1.589
0.687472942,3.798,1.589
0.687472962,3.798,1.589
0.687472982,3.798,1.589
0.687473002,3.798,1.594
0.687473022,3.798,1.594
0.687473042,3.798,1.594
0.687473062,3.798,1.594
0.687473082,3.798,1.589
0.687473102,3.798,1.589
0.687473122,3.798,1.589
0.687473142,3.793,1.589
0.687473162,3.793,1.589
0.687473182,3.793,1.589
0.687473202,3.793,1.584
0.687473222,3.793,1.584
0.687473242,3.793,1.584
0.687473262,3.788,1.584
0.687473282,3.788,1.584
0.687473302,3.793,1.584
0.687473322,3.793,1.589
0.687473342,3.798,1.594
0.687473362,3.798,1.594
0.687473382,3.798,1.594
0.687473402,3.798,1.594
0.687473422,3.798,1.594
0.687473442,3.803,1.594
0.687473462,3.798,1.594
0.687473482,3.798,1.589
0.687473502,3.798,1.589
0.687473522,3.793,1.589
0.687473542,3.793,1.589
0.687473562,3.793,1.584
0.687473582,3.793,1.584
0.687473602,3.793,1.584
0.687473622,3.793,1.584
0.687473642,3.788,1.584
0.687473662,3.788,1.584
0.687473682,3.788,1.584
0.687473702,3.788,1.584
0.687473722,3.793,1.584
0.687473742,3.793,1.589
0.687473762,3.793,1.594
0.687473782,3.793,1.594
0.687473802,3.788,1.599
0.687473822,3.767,1.615
0.687473842,3.705,1.671
0.687473862,3.567,1.785
0.687473882,3.346,1.976
0.687473902,3.068,2.203
0.687473922,2.816,2.404
0.687473942,2.662,2.528
0.687473962,2.616,2.569
0.687473982,2.641,2.569
0.687474002,2.667,2.574
0.687474022,2.672,2.595
0.687474042,2.652,2.616
0.687474062,2.636,2.621
0.687474082,2.636,2.616
0.687474102,2.641,2.61
0.687474122,2.646,2.616
0.687474142,2.646,2.616
0.687474162,2.641,2.616
0.687474182,2.636,2.616
0.687474202,2.636,2.616
0.687474222,2.636,2.616
0.687474242,2.641,2.621
0.687474262,2.641,2.621
0.687474282,2.636,2.621
0.687474302,2.631,2.616
0.687474322,2.631,2.616
0.687474342,2.636,2.621
0.687474362,2.636,2.621
0.687474382,2.631,2.621
0.687474402,2.626,2.621
0.687474422,2.626,2.621
0.687474442,2.626,2.621
0.687474462,2.631,2.621
0.687474482,2.631,2.621
0.687474502,2.631,2.616
0.687474522,2.626,2.616
0.687474542,2.626,2.616
