Time [s],Can H,Can L
0.407327802,2.646,2.641
0.407327822,2.641,2.641
0.407327842,2.641,2.636
0.407327862,2.641,2.636
0.407327882,2.641,2.636
0.407327902,2.641,2.636
0.407327922,2.636,2.636
0.407327942,2.636,2.636
0.407327962,2.631,2.636
0.407327982,2.631,2.636
0.407328002,2.636,2.631
0.407328022,2.636,2.631
0.407328042,2.641,2.631
0.407328062,2.636,2.631
0.407328082,2.636,2.631
0.407328102,2.631,2.626
0.407328122,2.631,2.626
0.407328142,2.636,2.626
0.407328162,2.636,2.626
0.407328182,2.636,2.626
0.407328202,2.631,2.631
0.407328222,2.631,2.631
0.407328242,2.631,2.631
0.407328262,2.631,2.631
0.407328282,2.631,2.626
0.407328302,2.631,2.621
0.407328322,2.631,2.621
0.407328342,2.636,2.621
0.407328362,2.646,2.621
0.407328382,2.667,2.605
0.407328402,2.708,2.564
0.407328422,2.801,2.481
0.407328442,2.96,2.352
0.407328462,3.171,2.177
0.407328482,3.387,1.991
0.407328502,3.567,1.847
0.407328522,3.669,1.764
0.407328542,3.711,1.749
0.407328562,3.716,1.775
0.407328582,3.705,1.79
0.407328602,3.7,1.785
0.407328622,3.7,1.769
0.407328642,3.7,1.764
0.407328662,3.695,1.764
0.407328682,3.69,1.759
0.407328702,3.68,1.754
0.407328722,3.675,1.744
0.407328742,3.675,1.749
0.407328762,3.685,1.754
0.407328782,3.69,1.759
0.407328802,3.685,1.754
0.407328822,3.685,1.754
0.407328842,3.69,1.754
0.407328862,3.695,1.759
0.407328882,3.695,1.764
0.407328902,3.695,1.759
0.407328922,3.69,1.759
0.407328942,3.69,1.759
0.407328962,3.69,1.759
0.407328982,3.685,1.754
0.407329002,3.68,1.754
0.407329022,3.675,1.749
0.407329042,3.68,1.749
0.407329062,3.685,1.749
0.407329082,3.685,1.754
0.407329102,3.685,1.754
0.407329122,3.685,1.759
0.407329142,3.685,1.764
0.407329162,3.69,1.764
0.407329182,3.69,1.764
0.407329202,3.69,1.764
0.407329222,3.69,1.764
0.407329242,3.685,1.764
0.407329262,3.685,1.759
0.407329282,3.685,1.754
0.407329302,3.685,1.754
0.407329322,3.685,1.754
0.407329342,3.685,1.754
0.407329362,3.685,1.754
0.407329382,3.685,1.754
0.407329402,3.69,1.754
0.407329422,3.69,1.754
0.407329442,3.69,1.754
0.407329462,3.685,1.754
0.407329482,3.68,1.749
0.407329502,3.68,1.754
0.407329522,3.68,1.754
0.407329542,3.68,1.754
0.407329562,3.685,1.754
0.407329582,3.685,1.754
0.407329602,3.685,1.754
0.407329622,3.685,1.759
0.407329642,3.69,1.759
0.407329662,3.69,1.759
0.407329682,3.69,1.759
0.407329702,3.685,1.759
0.407329722,3.685,1.759
0.407329742,3.685,1.754
0.407329762,3.68,1.754
0.407329782,3.68,1.754
0.407329802,3.68,1.754
0.407329822,3.685,1.754
0.407329842,3.68,1.754
0.407329862,3.68,1.754
0.407329882,3.68,1.749
0.407329902,3.68,1.749
0.407329922,3.675,1.749
0.407329942,3.675,1.749
0.407329962,3.675,1.744
0.407329982,3.675,1.749
0.407330002,3.68,1.749
0.407330022,3.68,1.754
0.407330042,3.68,1.754
0.407330062,3.685,1.754
0.407330082,3.685,1.754
0.407330102,3.685,1.754
0.407330122,3.68,1.754
0.407330142,3.675,1.754
0.407330162,3.675,1.749
0.407330182,3.675,1.749
0.407330202,3.675,1.749
0.407330222,3.68,1.754
0.407330242,3.68,1.749
0.407330262,3.68,1.749
0.407330282,3.68,1.749
0.407330302,3.68,1.754
0.407330322,3.68,1.754
0.407330342,3.675,1.754
0.407330362,3.664,1.759
0.407330382,3.633,1.785
0.407330402,3.572,1.847
0.407330422,3.464,1.96
0.407330442,3.304,2.12
0.407330462,3.125,2.311
0.407330482,2.965,2.481
0.407330502,2.862,2.6
0.407330522,2.811,2.662
0.407330542,2.79,2.683
0.407330562,2.77,2.688
0.407330582,2.754,2.688
0.407330602,2.739,2.693
0.407330622,2.734,2.703
0.407330642,2.739,2.714
0.407330662,2.739,2.714
0.407330682,2.734,2.708
0.407330702,2.718,2.698
0.407330722,2.713,2.693
0.407330742,2.713,2.693
0.407330762,2.718,2.698
0.407330782,2.718,2.698
0.407330802,2.708,2.698
0.407330822,2.703,2.693
0.407330842,2.698,2.688
0.407330862,2.703,2.688
0.407330882,2.703,2.688
0.407330902,2.703,2.688
0.407330922,2.698,2.688
0.407330942,2.698,2.683
0.407330962,2.698,2.683
0.407330982,2.698,2.688
0.407331002,2.693,2.688
0.407331022,2.688,2.683
0.407331042,2.682,2.677
0.407331062,2.682,2.677
0.407331082,2.682,2.677
0.407331102,2.682,2.672
