Time [s],Can H,Can L
0.642403362,2.631,2.626
0.642403382,2.631,2.626
0.642403402,2.631,2.626
0.642403422,2.631,2.621
0.642403442,2.631,2.621
0.642403462,2.626,2.626
0.642403482,2.631,2.626
0.642403502,2.631,2.626
0.642403522,2.631,2.621
0.642403542,2.631,2.621
0.642403562,2.626,2.621
0.642403582,2.626,2.621
0.642403602,2.626,2.621
0.642403622,2.626,2.621
0.642403642,2.626,2.621
0.642403662,2.631,2.626
0.642403682,2.631,2.621
0.642403702,2.631,2.621
0.642403722,2.626,2.621
0.642403742,2.626,2.621
0.642403762,2.626,2.621
0.642403782,2.626,2.621
0.642403802,2.626,2.621
0.642403822,2.626,2.621
0.642403842,2.626,2.621
0.642403862,2.626,2.621
0.642403882,2.626,2.621
0.642403902,2.626,2.621
0.642403922,2.626,2.621
0.642403942,2.636,2.61
0.642403962,2.662,2.59
0.642403982,2.734,2.528
0.642404002,2.878,2.389
0.642404022,3.099,2.172
0.642404042,3.356,1.909
0.642404062,3.582,1.671
0.642404082,3.726,1.532
0.642404102,3.793,1.517
0.642404122,3.813,1.573
0.642404142,3.829,1.64
0.642404162,3.849,1.666
0.642404182,3.865,1.661
0.642404202,3.875,1.656
0.642404222,3.875,1.651
0.642404242,3.865,1.646
0.642404262,3.839,1.63
0.642404282,3.818,1.609
0.642404302,3.803,1.594
0.642404322,3.808,1.589
0.642404342,3.813,1.589
0.642404362,3.813,1.594
0.642404382,3.818,1.599
0.642404402,3.829,1.609
0.642404422,3.844,1.62
0.642404442,3.849,1.625
0.642404462,3.849,1.625
0.642404482,3.844,1.62
0.642404502,3.839,1.615
0.642404522,3.839,1.615
0.642404542,3.834,1.615
0.642404562,3.829,1.609
0.642404582,3.824,1.604
0.642404602,3.824,1.604
0.642404622,3.824,1.604
0.642404642,3.829,1.609
0.642404662,3.834,1.609
0.642404682,3.834,1.615
0.642404702,3.839,1.615
0.642404722,3.839,1.62
0.642404742,3.844,1.62
0.642404762,3.839,1.615
0.642404782,3.834,1.609
0.642404802,3.829,1.609
0.642404822,3.829,1.604
0.642404842,3.829,1.604
0.642404862,3.829,1.604
0.642404882,3.829,1.604
0.642404902,3.829,1.604
0.642404922,3.834,1.609
0.642404942,3.834,1.609
0.642404962,3.834,1.609
0.642404982,3.834,1.609
0.642405002,3.839,1.615
0.642405022,3.839,1.615
0.642405042,3.839,1.615
0.642405062,3.839,1.615
0.642405082,3.839,1.615
0.642405102,3.834,1.609
0.642405122,3.829,1.609
0.642405142,3.829,1.609
0.642405162,3.829,1.604
0.642405182,3.829,1.604
0.642405202,3.829,1.604
0.642405222,3.829,1.604
0.642405242,3.829,1.604
0.642405262,3.829,1.604
0.642405282,3.829,1.604
0.642405302,3.829,1.609
0.642405322,3.834,1.609
0.642405342,3.834,1.609
0.642405362,3.834,1.609
0.642405382,3.834,1.615
0.642405402,3.834,1.615
0.642405422,3.834,1.615
0.642405442,3.834,1.615
0.642405462,3.834,1.615
0.642405482,3.834,1.615
0.642405502,3.834,1.609
0.642405522,3.829,1.609
0.642405542,3.829,1.609
0.642405562,3.824,1.604
0.642405582,3.824,1.604
0.642405602,3.824,1.604
0.642405622,3.824,1.609
0.642405642,3.829,1.609
0.642405662,3.829,1.615
0.642405682,3.834,1.615
0.642405702,3.834,1.615
0.642405722,3.834,1.615
0.642405742,3.834,1.615
0.642405762,3.834,1.615
0.642405782,3.834,1.615
0.642405802,3.834,1.615
0.642405822,3.839,1.615
0.642405842,3.834,1.615
0.642405862,3.834,1.615
0.642405882,3.834,1.609
0.642405902,3.834,1.609
0.642405922,3.834,1.609
0.642405942,3.824,1.615
0.642405962,3.793,1.64
0.642405982,3.716,1.702
0.642406002,3.567,1.836
0.642406022,3.34,2.043
0.642406042,3.073,2.28
0.642406062,2.842,2.476
0.642406082,2.698,2.585
0.642406102,2.657,2.61
0.642406122,2.672,2.605
0.642406142,2.698,2.616
0.642406162,2.708,2.641
0.642406182,2.698,2.667
0.642406202,2.682,2.667
0.642406222,2.672,2.657
0.642406242,2.672,2.647
0.642406262,2.672,2.647
0.642406282,2.677,2.652
0.642406302,2.672,2.657
0.642406322,2.667,2.652
0.642406342,2.662,2.647
0.642406362,2.667,2.647
0.642406382,2.667,2.652
0.642406402,2.672,2.652
0.642406422,2.667,2.652
0.642406442,2.662,2.652
0.642406462,2.657,2.647
0.642406482,2.657,2.647
0.642406502,2.657,2.647
0.642406522,2.657,2.647
0.642406542,2.657,2.647
0.642406562,2.652,2.647
0.642406582,2.646,2.641
0.642406602,2.646,2.641
0.642406622,2.646,2.641
0.642406642,2.646,2.641
0.642406662,2.646,2.636
0.642406682,2.646,2.636
