Time [s],Can H,Can L
0.164420322,2.636,2.631
0.164420342,2.636,2.631
0.164420362,2.636,2.631
0.164420382,2.631,2.626
0.164420402,2.631,2.626
0.164420422,2.631,2.621
0.164420442,2.631,2.626
0.164420462,2.636,2.626
0.164420482,2.641,2.631
0.164420502,2.641,2.631
0.164420522,2.636,2.626
0.164420542,2.626,2.626
0.164420562,2.626,2.626
0.164420582,2.626,2.626
0.164420602,2.631,2.631
0.164420622,2.631,2.631
0.164420642,2.626,2.626
0.164420662,2.626,2.626
0.164420682,2.626,2.621
0.164420702,2.626,2.621
0.164420722,2.626,2.626
0.164420742,2.626,2.626
0.164420762,2.626,2.626
0.164420782,2.626,2.626
0.164420802,2.626,2.626
0.164420822,2.631,2.631
0.164420842,2.626,2.626
0.164420862,2.626,2.626
0.164420882,2.631,2.621
0.164420902,2.641,2.616
0.164420922,2.682,2.579
0.164420942,2.775,2.492
0.164420962,2.945,2.321
0.164420982,3.186,2.079
0.164421002,3.443,1.816
0.164421022,3.644,1.609
0.164421042,3.762,1.522
0.164421062,3.808,1.537
0.164421082,3.824,1.604
0.164421102,3.839,1.656
0.164421122,3.86,1.671
0.164421142,3.875,1.661
0.164421162,3.88,1.656
0.164421182,3.875,1.656
0.164421202,3.854,1.646
0.164421222,3.829,1.625
0.164421242,3.813,1.599
0.164421262,3.803,1.584
0.164421282,3.808,1.584
0.164421302,3.808,1.584
0.164421322,3.813,1.589
0.164421342,3.818,1.594
0.164421362,3.829,1.604
0.164421382,3.839,1.615
0.164421402,3.849,1.625
0.164421422,3.849,1.625
0.164421442,3.844,1.625
0.164421462,3.839,1.62
0.164421482,3.834,1.615
0.164421502,3.834,1.609
0.164421522,3.829,1.604
0.164421542,3.824,1.599
0.164421562,3.824,1.599
0.164421582,3.824,1.599
0.164421602,3.829,1.604
0.164421622,3.834,1.609
0.164421642,3.839,1.615
0.164421662,3.839,1.615
0.164421682,3.839,1.615
0.164421702,3.839,1.609
0.164421722,3.834,1.609
0.164421742,3.834,1.609
0.164421762,3.829,1.609
0.164421782,3.829,1.604
0.164421802,3.824,1.599
0.164421822,3.824,1.599
0.164421842,3.829,1.599
0.164421862,3.829,1.599
0.164421882,3.834,1.599
0.164421902,3.834,1.604
0.164421922,3.839,1.609
0.164421942,3.839,1.609
0.164421962,3.844,1.615
0.164421982,3.844,1.615
0.164422002,3.839,1.615
0.164422022,3.834,1.609
0.164422042,3.829,1.604
0.164422062,3.824,1.599
0.164422082,3.818,1.599
0.164422102,3.824,1.599
0.164422122,3.824,1.599
0.164422142,3.829,1.604
0.164422162,3.829,1.604
0.164422182,3.834,1.609
0.164422202,3.834,1.609
0.164422222,3.839,1.609
0.164422242,3.834,1.609
0.164422262,3.834,1.609
0.164422282,3.829,1.609
0.164422302,3.834,1.609
0.164422322,3.834,1.609
0.164422342,3.834,1.609
0.164422362,3.834,1.609
0.164422382,3.829,1.609
0.164422402,3.829,1.609
0.164422422,3.829,1.609
0.164422442,3.829,1.609
0.164422462,3.829,1.609
0.164422482,3.829,1.609
0.164422502,3.829,1.609
0.164422522,3.829,1.609
0.164422542,3.829,1.609
0.164422562,3.829,1.609
0.164422582,3.829,1.609
0.164422602,3.829,1.609
0.164422622,3.829,1.609
0.164422642,3.834,1.615
0.164422662,3.834,1.615
0.164422682,3.839,1.615
0.164422702,3.839,1.615
0.164422722,3.839,1.615
0.164422742,3.834,1.615
0.164422762,3.834,1.615
0.164422782,3.829,1.609
0.164422802,3.829,1.609
0.164422822,3.829,1.609
0.164422842,3.829,1.609
0.164422862,3.829,1.609
0.164422882,3.829,1.609
0.164422902,3.813,1.62
0.164422922,3.777,1.656
0.164422942,3.675,1.744
0.164422962,3.495,1.909
0.164422982,3.243,2.136
0.164423002,2.981,2.363
0.164423022,2.775,2.533
0.164423042,2.672,2.6
0.164423062,2.657,2.605
0.164423082,2.682,2.605
0.164423102,2.703,2.621
0.164423122,2.703,2.652
0.164423142,2.688,2.667
0.164423162,2.672,2.662
0.164423182,2.667,2.652
0.164423202,2.667,2.641
0.164423222,2.672,2.647
0.164423242,2.677,2.652
0.164423262,2.667,2.652
0.164423282,2.662,2.652
0.164423302,2.657,2.647
0.164423322,2.662,2.641
0.164423342,2.662,2.641
0.164423362,2.662,2.647
0.164423382,2.657,2.641
0.164423402,2.657,2.641
0.164423422,2.652,2.641
0.164423442,2.652,2.641
0.164423462,2.652,2.641
0.164423482,2.652,2.647
0.164423502,2.652,2.641
0.164423522,2.646,2.641
0.164423542,2.646,2.636
0.164423562,2.646,2.636
0.164423582,2.646,2.636
0.164423602,2.646,2.636
0.164423622,2.646,2.636
0.164423642,2.646,2.636
