Time [s],Can H,Can L
0.093953262,2.611,2.605
0.093953282,2.611,2.605
0.093953302,2.611,2.605
0.093953322,2.611,2.605
0.093953342,2.611,2.605
0.093953362,2.611,2.605
0.093953382,2.611,2.605
0.093953402,2.611,2.605
0.093953422,2.611,2.605
0.093953442,2.611,2.605
0.093953462,2.611,2.605
0.093953482,2.611,2.605
0.093953502,2.611,2.6
0.093953522,2.611,2.605
0.093953542,2.605,2.605
0.093953562,2.605,2.605
0.093953582,2.611,2.605
0.093953602,2.611,2.605
0.093953622,2.611,2.605
0.093953642,2.611,2.605
0.093953662,2.611,2.605
0.093953682,2.611,2.605
0.093953702,2.611,2.61
0.093953722,2.611,2.605
0.093953742,2.611,2.605
0.093953762,2.611,2.605
0.093953782,2.611,2.605
0.093953802,2.616,2.605
0.093953822,2.616,2.605
0.093953842,2.626,2.595
0.093953862,2.662,2.564
0.093953882,2.754,2.487
0.093953902,2.934,2.327
0.093953922,3.176,2.094
0.093953942,3.418,1.826
0.093953962,3.567,1.615
0.093953982,3.592,1.506
0.093954002,3.551,1.501
0.093954022,3.51,1.537
0.093954042,3.51,1.558
0.093954062,3.531,1.553
0.093954082,3.546,1.542
0.093954102,3.551,1.542
0.093954122,3.561,1.563
0.093954142,3.572,1.584
0.093954162,3.567,1.584
0.093954182,3.556,1.568
0.093954202,3.546,1.553
0.093954222,3.546,1.547
0.093954242,3.556,1.558
0.093954262,3.567,1.563
0.093954282,3.567,1.563
0.093954302,3.561,1.558
0.093954322,3.561,1.553
0.093954342,3.567,1.558
0.093954362,3.572,1.563
0.093954382,3.572,1.563
0.093954402,3.561,1.558
0.093954422,3.556,1.547
0.093954442,3.556,1.547
0.093954462,3.567,1.558
0.093954482,3.577,1.568
0.093954502,3.577,1.568
0.093954522,3.572,1.563
0.093954542,3.567,1.558
0.093954562,3.567,1.558
0.093954582,3.572,1.558
0.093954602,3.572,1.563
0.093954622,3.567,1.563
0.093954642,3.567,1.558
0.093954662,3.567,1.553
0.093954682,3.567,1.553
0.093954702,3.572,1.558
0.093954722,3.572,1.558
0.093954742,3.567,1.558
0.093954762,3.561,1.558
0.093954782,3.561,1.558
0.093954802,3.567,1.558
0.093954822,3.567,1.558
0.093954842,3.567,1.558
0.093954862,3.567,1.558
0.093954882,3.567,1.553
0.093954902,3.567,1.553
0.093954922,3.567,1.558
0.093954942,3.567,1.558
0.093954962,3.567,1.558
0.093954982,3.567,1.558
0.093955002,3.561,1.558
0.093955022,3.567,1.553
0.093955042,3.567,1.553
0.093955062,3.567,1.553
0.093955082,3.567,1.553
0.093955102,3.561,1.553
0.093955122,3.561,1.553
0.093955142,3.561,1.558
0.093955162,3.561,1.558
0.093955182,3.561,1.558
0.093955202,3.561,1.553
0.093955222,3.556,1.553
0.093955242,3.556,1.553
0.093955262,3.561,1.553
0.093955282,3.561,1.553
0.093955302,3.561,1.553
0.093955322,3.556,1.553
0.093955342,3.556,1.553
0.093955362,3.556,1.553
0.093955382,3.556,1.553
0.093955402,3.556,1.553
0.093955422,3.556,1.553
0.093955442,3.556,1.553
0.093955462,3.556,1.553
0.093955482,3.551,1.553
0.093955502,3.551,1.553
0.093955522,3.551,1.553
0.093955542,3.551,1.547
0.093955562,3.551,1.553
0.093955582,3.551,1.553
0.093955602,3.551,1.553
0.093955622,3.551,1.553
0.093955642,3.546,1.553
0.093955662,3.551,1.553
0.093955682,3.551,1.553
0.093955702,3.556,1.558
0.093955722,3.556,1.553
0.093955742,3.556,1.553
0.093955762,3.556,1.553
0.093955782,3.556,1.553
0.093955802,3.556,1.553
0.093955822,3.551,1.558
0.093955842,3.531,1.573
0.093955862,3.469,1.63
0.093955882,3.346,1.744
0.093955902,3.155,1.929
0.093955922,2.934,2.162
0.093955942,2.754,2.368
0.093955962,2.662,2.507
0.093955982,2.646,2.559
0.093956002,2.652,2.564
0.093956022,2.636,2.554
0.093956042,2.611,2.554
0.093956062,2.595,2.564
0.093956082,2.6,2.579
0.093956102,2.616,2.595
0.093956122,2.626,2.6
0.093956142,2.616,2.595
0.093956162,2.6,2.585
0.093956182,2.59,2.579
0.093956202,2.6,2.585
0.093956222,2.611,2.59
0.093956242,2.611,2.595
0.093956262,2.605,2.59
0.093956282,2.595,2.585
0.093956302,2.6,2.585
0.093956322,2.605,2.59
0.093956342,2.611,2.595
0.093956362,2.611,2.6
0.093956382,2.6,2.59
0.093956402,2.595,2.585
0.093956422,2.6,2.585
0.093956442,2.605,2.595
0.093956462,2.605,2.6
0.093956482,2.605,2.6
0.093956502,2.6,2.595
0.093956522,2.595,2.595
0.093956542,2.6,2.595
0.093956562,2.605,2.6
