Time [s],Can H,Can L
0.045510742,2.636,2.631
0.045510762,2.636,2.631
0.045510782,2.636,2.631
0.045510802,2.636,2.636
0.045510822,2.636,2.636
0.045510842,2.636,2.636
0.045510862,2.636,2.631
0.045510882,2.636,2.631
0.045510902,2.636,2.626
0.045510922,2.636,2.626
0.045510942,2.636,2.626
0.045510962,2.636,2.631
0.045510982,2.636,2.631
0.045511002,2.636,2.631
0.045511022,2.631,2.631
0.045511042,2.636,2.631
0.045511062,2.636,2.631
0.045511082,2.636,2.631
0.045511102,2.636,2.631
0.045511122,2.636,2.631
0.045511142,2.631,2.626
0.045511162,2.636,2.626
0.045511182,2.631,2.626
0.045511202,2.631,2.626
0.045511222,2.631,2.626
0.045511242,2.631,2.626
0.045511262,2.631,2.626
0.045511282,2.631,2.626
0.045511302,2.631,2.621
0.045511322,2.636,2.621
0.045511342,2.646,2.605
0.045511362,2.693,2.569
0.045511382,2.796,2.471
0.045511402,2.986,2.296
0.045511422,3.238,2.048
0.045511442,3.495,1.79
0.045511462,3.69,1.599
0.045511482,3.798,1.532
0.045511502,3.839,1.563
0.045511522,3.854,1.635
0.045511542,3.87,1.676
0.045511562,3.885,1.682
0.045511582,3.896,1.671
0.045511602,3.901,1.661
0.045511622,3.89,1.661
0.045511642,3.865,1.646
0.045511662,3.839,1.625
0.045511682,3.818,1.599
0.045511702,3.818,1.589
0.045511722,3.824,1.594
0.045511742,3.834,1.609
0.045511762,3.839,1.62
0.045511782,3.849,1.625
0.045511802,3.865,1.64
0.045511822,3.88,1.651
0.045511842,3.885,1.656
0.045511862,3.875,1.651
0.045511882,3.865,1.64
0.045511902,3.86,1.635
0.045511922,3.854,1.63
0.045511942,3.849,1.625
0.045511962,3.844,1.615
0.045511982,3.839,1.609
0.045512002,3.839,1.609
0.045512022,3.844,1.615
0.045512042,3.849,1.62
0.045512062,3.854,1.625
0.045512082,3.86,1.625
0.045512102,3.86,1.63
0.045512122,3.865,1.635
0.045512142,3.865,1.635
0.045512162,3.86,1.635
0.045512182,3.86,1.635
0.045512202,3.86,1.63
0.045512222,3.86,1.63
0.045512242,3.854,1.625
0.045512262,3.854,1.625
0.045512282,3.854,1.625
0.045512302,3.854,1.625
0.045512322,3.854,1.625
0.045512342,3.854,1.625
0.045512362,3.854,1.625
0.045512382,3.854,1.625
0.045512402,3.849,1.625
0.045512422,3.849,1.625
0.045512442,3.849,1.625
0.045512462,3.854,1.625
0.045512482,3.854,1.625
0.045512502,3.854,1.625
0.045512522,3.854,1.63
0.045512542,3.854,1.63
0.045512562,3.854,1.63
0.045512582,3.854,1.63
0.045512602,3.854,1.63
0.045512622,3.854,1.625
0.045512642,3.854,1.625
0.045512662,3.854,1.625
0.045512682,3.854,1.625
0.045512702,3.854,1.625
0.045512722,3.849,1.625
0.045512742,3.849,1.625
0.045512762,3.849,1.625
0.045512782,3.854,1.625
0.045512802,3.854,1.625
0.045512822,3.854,1.625
0.045512842,3.854,1.625
0.045512862,3.854,1.625
0.045512882,3.854,1.625
0.045512902,3.854,1.625
0.045512922,3.86,1.63
0.045512942,3.86,1.63
0.045512962,3.86,1.63
0.045512982,3.86,1.63
0.045513002,3.854,1.63
0.045513022,3.849,1.63
0.045513042,3.849,1.63
0.045513062,3.844,1.625
0.045513082,3.844,1.625
0.045513102,3.844,1.625
0.045513122,3.849,1.625
0.045513142,3.849,1.625
0.045513162,3.849,1.625
0.045513182,3.849,1.625
0.045513202,3.844,1.62
0.045513222,3.844,1.62
0.045513242,3.849,1.625
0.045513262,3.854,1.63
0.045513282,3.854,1.63
0.045513302,3.854,1.63
0.045513322,3.854,1.63
0.045513342,3.839,1.64
0.045513362,3.793,1.682
0.045513382,3.68,1.78
0.045513402,3.479,1.945
0.045513422,3.217,2.167
0.045513442,2.95,2.394
0.045513462,2.76,2.549
0.045513482,2.677,2.616
0.045513502,2.672,2.621
0.045513522,2.703,2.621
0.045513542,2.718,2.636
0.045513562,2.713,2.662
0.045513582,2.693,2.672
0.045513602,2.677,2.667
0.045513622,2.677,2.657
0.045513642,2.682,2.652
0.045513662,2.693,2.657
0.045513682,2.688,2.662
0.045513702,2.677,2.662
0.045513722,2.672,2.657
0.045513742,2.672,2.652
0.045513762,2.677,2.652
0.045513782,2.677,2.657
0.045513802,2.672,2.657
0.045513822,2.667,2.657
0.045513842,2.667,2.652
0.045513862,2.667,2.652
0.045513882,2.667,2.652
0.045513902,2.667,2.652
0.045513922,2.667,2.657
0.045513942,2.662,2.652
0.045513962,2.662,2.652
0.045513982,2.662,2.647
0.045514002,2.662,2.647
0.045514022,2.657,2.647
0.045514042,2.657,2.652
0.045514062,2.657,2.652
