Time [s],Can H,Can L
0.276781022,2.605,2.605
0.276781042,2.611,2.605
0.276781062,2.611,2.61
0.276781082,2.616,2.61
0.276781102,2.616,2.61
0.276781122,2.611,2.605
0.276781142,2.611,2.605
0.276781162,2.611,2.605
0.276781182,2.616,2.605
0.276781202,2.616,2.61
0.276781222,2.616,2.61
0.276781242,2.611,2.61
0.276781262,2.611,2.61
0.276781282,2.611,2.61
0.276781302,2.616,2.61
0.276781322,2.616,2.61
0.276781342,2.616,2.61
0.276781362,2.616,2.605
0.276781382,2.616,2.61
0.276781402,2.616,2.61
0.276781422,2.621,2.61
0.276781442,2.621,2.61
0.276781462,2.616,2.61
0.276781482,2.616,2.61
0.276781502,2.616,2.61
0.276781522,2.616,2.61
0.276781542,2.616,2.61
0.276781562,2.616,2.61
0.276781582,2.616,2.61
0.276781602,2.621,2.605
0.276781622,2.641,2.59
0.276781642,2.703,2.543
0.276781662,2.832,2.43
0.276781682,3.047,2.229
0.276781702,3.299,1.976
0.276781722,3.51,1.733
0.276781742,3.608,1.578
0.276781762,3.592,1.527
0.276781782,3.536,1.547
0.276781802,3.51,1.573
0.276781822,3.525,1.584
0.276781842,3.551,1.578
0.276781862,3.567,1.578
0.276781882,3.572,1.589
0.276781902,3.577,1.599
0.276781922,3.577,1.604
0.276781942,3.572,1.594
0.276781962,3.561,1.578
0.276781982,3.551,1.568
0.276782002,3.556,1.573
0.276782022,3.567,1.578
0.276782042,3.577,1.589
0.276782062,3.582,1.589
0.276782082,3.582,1.589
0.276782102,3.582,1.589
0.276782122,3.587,1.589
0.276782142,3.587,1.589
0.276782162,3.587,1.589
0.276782182,3.587,1.584
0.276782202,3.582,1.584
0.276782222,3.587,1.584
0.276782242,3.587,1.589
0.276782262,3.587,1.594
0.276782282,3.587,1.594
0.276782302,3.582,1.589
0.276782322,3.582,1.589
0.276782342,3.582,1.589
0.276782362,3.587,1.589
0.276782382,3.587,1.589
0.276782402,3.587,1.589
0.276782422,3.587,1.589
0.276782442,3.587,1.589
0.276782462,3.587,1.589
0.276782482,3.592,1.589
0.276782502,3.592,1.589
0.276782522,3.587,1.589
0.276782542,3.587,1.589
0.276782562,3.587,1.589
0.276782582,3.592,1.589
0.276782602,3.592,1.589
0.276782622,3.587,1.589
0.276782642,3.587,1.589
0.276782662,3.582,1.584
0.276782682,3.582,1.584
0.276782702,3.582,1.584
0.276782722,3.587,1.589
0.276782742,3.592,1.589
0.276782762,3.587,1.589
0.276782782,3.587,1.589
0.276782802,3.587,1.589
0.276782822,3.587,1.589
0.276782842,3.587,1.589
0.276782862,3.587,1.594
0.276782882,3.582,1.589
0.276782902,3.582,1.584
0.276782922,3.577,1.584
0.276782942,3.582,1.584
0.276782962,3.582,1.584
0.276782982,3.582,1.584
0.276783002,3.582,1.584
0.276783022,3.582,1.584
0.276783042,3.582,1.584
0.276783062,3.582,1.584
0.276783082,3.582,1.584
0.276783102,3.582,1.584
0.276783122,3.582,1.584
0.276783142,3.582,1.584
0.276783162,3.582,1.584
0.276783182,3.582,1.584
0.276783202,3.582,1.584
0.276783222,3.577,1.584
0.276783242,3.577,1.578
0.276783262,3.577,1.584
0.276783282,3.582,1.584
0.276783302,3.582,1.584
0.276783322,3.582,1.584
0.276783342,3.582,1.584
0.276783362,3.577,1.578
0.276783382,3.577,1.578
0.276783402,3.582,1.584
0.276783422,3.582,1.584
0.276783442,3.577,1.584
0.276783462,3.577,1.584
0.276783482,3.572,1.584
0.276783502,3.577,1.584
0.276783522,3.577,1.584
0.276783542,3.577,1.584
0.276783562,3.577,1.584
0.276783582,3.577,1.584
0.276783602,3.567,1.594
0.276783622,3.531,1.62
0.276783642,3.448,1.692
0.276783662,3.294,1.836
0.276783682,3.083,2.048
0.276783702,2.878,2.275
0.276783722,2.734,2.461
0.276783742,2.672,2.559
0.276783762,2.662,2.579
0.276783782,2.662,2.574
0.276783802,2.641,2.569
0.276783822,2.621,2.579
0.276783842,2.616,2.595
0.276783862,2.626,2.61
0.276783882,2.636,2.616
0.276783902,2.636,2.61
0.276783922,2.621,2.6
0.276783942,2.611,2.595
0.276783962,2.611,2.6
0.276783982,2.621,2.605
0.276784002,2.631,2.61
0.276784022,2.626,2.61
0.276784042,2.616,2.6
0.276784062,2.611,2.595
0.276784082,2.611,2.6
0.276784102,2.621,2.605
0.276784122,2.621,2.61
0.276784142,2.616,2.61
0.276784162,2.611,2.605
0.276784182,2.611,2.6
0.276784202,2.616,2.605
0.276784222,2.621,2.61
0.276784242,2.621,2.61
0.276784262,2.616,2.605
0.276784282,2.611,2.6
0.276784302,2.611,2.6
0.276784322,2.611,2.605
0.276784342,2.616,2.61
