Time [s],Can H,Can L
6.752359242,2.605,2.595
6.752359262,2.605,2.595
6.752359282,2.605,2.595
6.752359302,2.605,2.6
6.752359322,2.605,2.6
6.752359342,2.605,2.6
6.752359362,2.605,2.6
6.752359382,2.605,2.6
6.752359402,2.605,2.595
6.752359422,2.605,2.595
6.752359442,2.605,2.595
6.752359462,2.605,2.595
6.752359482,2.605,2.6
6.752359502,2.605,2.6
6.752359522,2.605,2.6
6.752359542,2.605,2.6
6.752359562,2.611,2.6
6.752359582,2.611,2.6
6.752359602,2.611,2.6
6.752359622,2.611,2.6
6.752359642,2.611,2.6
6.752359662,2.611,2.6
6.752359682,2.605,2.6
6.752359702,2.605,2.6
6.752359722,2.605,2.6
6.752359742,2.605,2.6
6.752359762,2.605,2.6
6.752359782,2.605,2.6
6.752359802,2.605,2.6
6.752359822,2.611,2.6
6.752359842,2.626,2.59
6.752359862,2.667,2.559
6.752359882,2.765,2.466
6.752359902,2.95,2.296
6.752359922,3.186,2.043
6.752359942,3.402,1.769
6.752359962,3.52,1.558
6.752359982,3.536,1.465
6.752360002,3.5,1.475
6.752360022,3.479,1.522
6.752360042,3.484,1.547
6.752360062,3.5,1.537
6.752360082,3.505,1.517
6.752360102,3.505,1.517
6.752360122,3.515,1.537
6.752360142,3.525,1.558
6.752360162,3.525,1.553
6.752360182,3.51,1.532
6.752360202,3.495,1.511
6.752360222,3.495,1.506
6.752360242,3.51,1.522
6.752360262,3.52,1.537
6.752360282,3.52,1.537
6.752360302,3.515,1.527
6.752360322,3.51,1.522
6.752360342,3.515,1.527
6.752360362,3.525,1.532
6.752360382,3.531,1.537
6.752360402,3.525,1.532
6.752360422,3.515,1.527
6.752360442,3.515,1.527
6.752360462,3.52,1.527
6.752360482,3.525,1.532
6.752360502,3.525,1.537
6.752360522,3.52,1.532
6.752360542,3.515,1.527
6.752360562,3.515,1.527
6.752360582,3.52,1.532
6.752360602,3.52,1.532
6.752360622,3.52,1.532
6.752360642,3.515,1.527
6.752360662,3.515,1.527
6.752360682,3.515,1.527
6.752360702,3.52,1.527
6.752360722,3.52,1.527
6.752360742,3.52,1.527
6.752360762,3.515,1.527
6.752360782,3.515,1.527
6.752360802,3.515,1.527
6.752360822,3.515,1.532
6.752360842,3.515,1.532
6.752360862,3.515,1.532
6.752360882,3.515,1.532
6.752360902,3.515,1.532
6.752360922,3.52,1.537
6.752360942,3.52,1.537
6.752360962,3.515,1.532
6.752360982,3.515,1.532
6.752361002,3.515,1.532
6.752361022,3.515,1.532
6.752361042,3.52,1.537
6.752361062,3.52,1.537
6.752361082,3.515,1.532
6.752361102,3.515,1.532
6.752361122,3.515,1.532
6.752361142,3.515,1.532
6.752361162,3.515,1.532
6.752361182,3.52,1.532
6.752361202,3.515,1.532
6.752361222,3.515,1.532
6.752361242,3.515,1.527
6.752361262,3.52,1.527
6.752361282,3.52,1.532
6.752361302,3.52,1.532
6.752361322,3.52,1.537
6.752361342,3.52,1.537
6.752361362,3.52,1.537
6.752361382,3.525,1.532
6.752361402,3.525,1.532
6.752361422,3.531,1.532
6.752361442,3.525,1.532
6.752361462,3.525,1.532
6.752361482,3.525,1.532
6.752361502,3.525,1.537
6.752361522,3.525,1.537
6.752361542,3.525,1.537
6.752361562,3.531,1.537
6.752361582,3.531,1.537
6.752361602,3.525,1.532
6.752361622,3.525,1.532
6.752361642,3.525,1.527
6.752361662,3.525,1.527
6.752361682,3.531,1.532
6.752361702,3.531,1.537
6.752361722,3.536,1.537
6.752361742,3.531,1.537
6.752361762,3.525,1.532
6.752361782,3.525,1.527
6.752361802,3.525,1.532
6.752361822,3.52,1.537
6.752361842,3.5,1.558
6.752361862,3.433,1.62
6.752361882,3.299,1.744
6.752361902,3.104,1.934
6.752361922,2.888,2.162
6.752361942,2.718,2.363
6.752361962,2.631,2.492
6.752361982,2.616,2.538
6.752362002,2.621,2.538
6.752362022,2.611,2.528
6.752362042,2.59,2.533
6.752362062,2.58,2.549
6.752362082,2.59,2.564
6.752362102,2.6,2.574
6.752362122,2.6,2.574
6.752362142,2.59,2.564
6.752362162,2.585,2.554
6.752362182,2.585,2.559
6.752362202,2.59,2.564
6.752362222,2.595,2.574
6.752362242,2.595,2.574
6.752362262,2.585,2.569
6.752362282,2.58,2.564
6.752362302,2.585,2.569
6.752362322,2.59,2.574
6.752362342,2.595,2.579
6.752362362,2.59,2.579
6.752362382,2.585,2.574
6.752362402,2.585,2.569
6.752362422,2.59,2.574
6.752362442,2.59,2.574
6.752362462,2.59,2.579
6.752362482,2.59,2.579
6.752362502,2.59,2.579
6.752362522,2.595,2.579
6.752362542,2.595,2.579
6.752362562,2.595,2.585
