Time [s],Can H,Can L
23.069889162,2.646,2.641
23.069889182,2.646,2.641
23.069889202,2.646,2.641
23.069889222,2.646,2.636
23.069889242,2.646,2.636
23.069889262,2.641,2.636
23.069889282,2.641,2.636
23.069889302,2.641,2.636
23.069889322,2.641,2.636
23.069889342,2.646,2.636
23.069889362,2.641,2.636
23.069889382,2.641,2.636
23.069889402,2.641,2.631
23.069889422,2.641,2.631
23.069889442,2.641,2.631
23.069889462,2.641,2.631
23.069889482,2.641,2.631
23.069889502,2.641,2.631
23.069889522,2.636,2.636
23.069889542,2.636,2.636
23.069889562,2.636,2.636
23.069889582,2.636,2.631
23.069889602,2.641,2.631
23.069889622,2.641,2.631
23.069889642,2.641,2.631
23.069889662,2.636,2.626
23.069889682,2.631,2.626
23.069889702,2.631,2.621
23.069889722,2.641,2.616
23.069889742,2.667,2.605
23.069889762,2.724,2.564
23.069889782,2.826,2.481
23.069889802,2.986,2.337
23.069889822,3.191,2.156
23.069889842,3.402,1.971
23.069889862,3.567,1.826
23.069889882,3.664,1.754
23.069889902,3.705,1.744
23.069889922,3.711,1.769
23.069889942,3.705,1.785
23.069889962,3.705,1.78
23.069889982,3.705,1.769
23.069890002,3.7,1.759
23.069890022,3.695,1.759
23.069890042,3.685,1.759
23.069890062,3.675,1.754
23.069890082,3.669,1.744
23.069890102,3.664,1.738
23.069890122,3.669,1.744
23.069890142,3.675,1.749
23.069890162,3.68,1.749
23.069890182,3.68,1.749
23.069890202,3.685,1.754
23.069890222,3.69,1.759
23.069890242,3.69,1.759
23.069890262,3.685,1.754
23.069890282,3.68,1.749
23.069890302,3.675,1.744
23.069890322,3.68,1.749
23.069890342,3.68,1.749
23.069890362,3.675,1.749
23.069890382,3.675,1.749
23.069890402,3.675,1.749
23.069890422,3.68,1.749
23.069890442,3.68,1.749
23.069890462,3.685,1.754
23.069890482,3.685,1.754
23.069890502,3.685,1.754
23.069890522,3.68,1.754
23.069890542,3.68,1.754
23.069890562,3.68,1.749
23.069890582,3.68,1.749
23.069890602,3.68,1.744
23.069890622,3.68,1.744
23.069890642,3.68,1.744
23.069890662,3.68,1.749
23.069890682,3.68,1.749
23.069890702,3.68,1.749
23.069890722,3.68,1.749
23.069890742,3.68,1.749
23.069890762,3.675,1.749
23.069890782,3.675,1.749
23.069890802,3.675,1.749
23.069890822,3.68,1.749
23.069890842,3.68,1.749
23.069890862,3.68,1.754
23.069890882,3.68,1.754
23.069890902,3.685,1.754
23.069890922,3.685,1.759
23.069890942,3.685,1.759
23.069890962,3.685,1.754
23.069890982,3.685,1.754
23.069891002,3.685,1.754
23.069891022,3.68,1.749
23.069891042,3.68,1.749
23.069891062,3.685,1.749
23.069891082,3.685,1.749
23.069891102,3.68,1.749
23.069891122,3.68,1.749
23.069891142,3.68,1.754
23.069891162,3.675,1.754
23.069891182,3.675,1.754
23.069891202,3.675,1.749
23.069891222,3.675,1.749
23.069891242,3.68,1.749
23.069891262,3.68,1.754
23.069891282,3.685,1.754
23.069891302,3.685,1.754
23.069891322,3.68,1.749
23.069891342,3.68,1.749
23.069891362,3.68,1.749
23.069891382,3.685,1.754
23.069891402,3.685,1.754
23.069891422,3.685,1.759
23.069891442,3.68,1.754
23.069891462,3.68,1.754
23.069891482,3.68,1.754
23.069891502,3.68,1.754
23.069891522,3.68,1.754
23.069891542,3.68,1.754
23.069891562,3.68,1.749
23.069891582,3.68,1.749
23.069891602,3.675,1.749
23.069891622,3.675,1.749
23.069891642,3.675,1.749
23.069891662,3.675,1.744
23.069891682,3.675,1.749
23.069891702,3.675,1.754
23.069891722,3.664,1.764
23.069891742,3.633,1.795
23.069891762,3.567,1.862
23.069891782,3.448,1.981
23.069891802,3.289,2.151
23.069891822,3.109,2.337
23.069891842,2.96,2.502
23.069891862,2.857,2.61
23.069891882,2.806,2.662
23.069891902,2.785,2.683
23.069891922,2.775,2.688
23.069891942,2.754,2.693
23.069891962,2.744,2.698
23.069891982,2.739,2.708
23.069892002,2.739,2.714
23.069892022,2.739,2.714
23.069892042,2.734,2.708
23.069892062,2.718,2.698
23.069892082,2.708,2.693
23.069892102,2.708,2.693
23.069892122,2.713,2.698
23.069892142,2.718,2.698
23.069892162,2.713,2.698
23.069892182,2.703,2.693
23.069892202,2.698,2.688
23.069892222,2.698,2.688
23.069892242,2.703,2.688
23.069892262,2.703,2.688
23.069892282,2.698,2.683
23.069892302,2.693,2.677
23.069892322,2.693,2.677
23.069892342,2.693,2.677
23.069892362,2.693,2.677
23.069892382,2.688,2.677
23.069892402,2.682,2.677
23.069892422,2.682,2.672
23.069892442,2.677,2.672
23.069892462,2.682,2.672
